model,segment,mae,rmse,directional_accuracy
itransformer,calibration,0.026433221202820267,0.03621488653454429,0.4995967741935484
itransformer,trade,0.029095466126377888,0.03944141281276489,0.490625
patchtst,calibration,0.025654256884400376,0.03533482156896836,0.4810483870967742
patchtst,trade,0.027778802527675762,0.03769336247019354,0.5004536290322581
