repeat,window,pair,classifier_group,classifier_seed,calibration_source,calibration_start,calibration_end,trade_start,trade_end
5,1,a2c_ppo,1,1737410002,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
5,1,a2c_ppo,2,980091954,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
5,1,a2c_ppo,3,1736188674,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
5,1,a2c_ppo,4,1564158359,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
5,1,a2c_ppo,5,60356221,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
5,1,a2c_sac,1,1979889006,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
5,1,a2c_sac,2,2137580744,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
5,1,a2c_sac,3,1677998083,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
5,1,a2c_sac,4,685841141,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
5,1,a2c_sac,5,1820083871,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
5,1,ppo_sac,1,107693782,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
5,1,ppo_sac,2,1235227565,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
5,1,ppo_sac,3,984500531,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
5,1,ppo_sac,4,1295782948,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
5,1,ppo_sac,5,1842519676,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
5,2,a2c_ppo,1,1634299007,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
5,2,a2c_ppo,2,2127913533,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
5,2,a2c_ppo,3,1565386849,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
5,2,a2c_ppo,4,1800200652,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
5,2,a2c_ppo,5,1345862014,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
5,2,a2c_sac,1,1707994016,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
5,2,a2c_sac,2,1691947728,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
5,2,a2c_sac,3,1429452779,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
5,2,a2c_sac,4,1066345411,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
5,2,a2c_sac,5,1749571295,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
5,2,ppo_sac,1,1966501826,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
5,2,ppo_sac,2,420485152,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
5,2,ppo_sac,3,719568289,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
5,2,ppo_sac,4,918536701,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
5,2,ppo_sac,5,721678486,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
5,3,a2c_ppo,1,550967538,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
5,3,a2c_ppo,2,1196344120,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
5,3,a2c_ppo,3,1706570363,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
5,3,a2c_ppo,4,35144462,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
5,3,a2c_ppo,5,285139421,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
5,3,a2c_sac,1,1565745042,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
5,3,a2c_sac,2,59271247,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
5,3,a2c_sac,3,747896230,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
5,3,a2c_sac,4,398142663,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
5,3,a2c_sac,5,1793767755,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
5,3,ppo_sac,1,891565961,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
5,3,ppo_sac,2,505182581,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
5,3,ppo_sac,3,8656598,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
5,3,ppo_sac,4,409111848,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
5,3,ppo_sac,5,1594758860,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
5,4,a2c_ppo,1,1559169040,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
5,4,a2c_ppo,2,329051837,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
5,4,a2c_ppo,3,1021922703,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
5,4,a2c_ppo,4,1745192882,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
5,4,a2c_ppo,5,1171500983,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
5,4,a2c_sac,1,1372540271,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
5,4,a2c_sac,2,1029741698,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
5,4,a2c_sac,3,865271664,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
5,4,a2c_sac,4,1132070797,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
5,4,a2c_sac,5,537845485,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
5,4,ppo_sac,1,1505620527,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
5,4,ppo_sac,2,596841765,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
5,4,ppo_sac,3,211590461,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
5,4,ppo_sac,4,769440010,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
5,4,ppo_sac,5,1925631043,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
