window,pair,segment,samples,mean_holding_l1,mean_dispersion,identical_holding_rate
1,td3_tqc,calibration,62,24705.83870967742,0.38865620921638994,0.0
1,td3_tqc,trade,62,23439.58064516129,0.3847586058024347,0.0
2,td3_tqc,calibration,62,25802.25806451613,0.43752376886119737,0.0
2,td3_tqc,trade,62,31595.08064516129,0.3919985191707353,0.0
3,td3_tqc,calibration,62,26848.548387096773,0.4430090846794767,0.0
3,td3_tqc,trade,62,32360.58064516129,0.4014960377811572,0.0
4,td3_tqc,calibration,62,26305.645161290322,0.44574288961602215,0.0
4,td3_tqc,trade,18,33269.666666666664,0.41277502067824623,0.0
