repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,stronger_model,stronger_sharpe,delta_sharpe
0,td3_tqc,1,0.39,1,0.4658340903200002,0.5929062373495988,1.9310329664437038,3.9153114185576467,-0.1514327147872233,tqc,1.9048412229989393,0.026191743444764493
1,td3_tqc,1,0.39,1,0.46614627549000054,0.5933192448246052,1.9287042304879827,3.9180387517867095,-0.1514327147872233,tqc,1.9048412229989393,0.023863007489043353
2,td3_tqc,1,0.39,1,0.46614627549000054,0.5933192448246052,1.9287042304879827,3.9180387517867095,-0.1514327147872233,tqc,1.9048412229989393,0.023863007489043353
3,td3_tqc,1,0.39,1,0.4658340903200002,0.5929062373495988,1.9310329664437038,3.9153114185576467,-0.1514327147872233,tqc,1.9048412229989393,0.026191743444764493
4,td3_tqc,1,0.39,1,0.4658340903200002,0.5929062373495988,1.9310329664437038,3.9153114185576467,-0.1514327147872233,tqc,1.9048412229989393,0.026191743444764493
5,td3_tqc,1,0.39,1,0.45697631889000045,0.5811957691778917,1.8897328801683406,3.7495796763202995,-0.1550029121526112,tqc,1.9048412229989393,-0.015108342830598698
6,td3_tqc,1,0.39,1,0.4627456935800005,0.5888214528396609,1.9178740774788001,3.888337164575095,-0.1514327147872233,tqc,1.9048412229989393,0.0130328544798608
7,td3_tqc,1,0.39,1,0.46614627549000054,0.5933192448246052,1.9287042304879827,3.9180387517867095,-0.1514327147872233,tqc,1.9048412229989393,0.023863007489043353
8,td3_tqc,1,0.39,1,0.46614627549000054,0.5933192448246052,1.9287042304879827,3.9180387517867095,-0.1514327147872233,tqc,1.9048412229989393,0.023863007489043353
9,td3_tqc,1,0.39,1,0.46614627549000054,0.5933192448246052,1.9287042304879827,3.9180387517867095,-0.1514327147872233,tqc,1.9048412229989393,0.023863007489043353
10,td3_tqc,1,0.39,1,0.46614627549000054,0.5933192448246052,1.9287042304879827,3.9180387517867095,-0.1514327147872233,tqc,1.9048412229989393,0.023863007489043353
11,td3_tqc,1,0.39,1,0.5339422208800002,0.6834579095806514,2.1319588895065356,4.507554370456981,-0.1516249951548253,tqc,1.9048412229989393,0.22711766650759624
12,td3_tqc,1,0.39,1,0.5261058079100003,0.6729938736506116,2.0964139491706204,4.444177564908804,-0.1514327147872233,tqc,1.9048412229989393,0.19157272617168108
13,td3_tqc,1,0.39,1,0.4658340903200002,0.5929062373495988,1.9310329664437038,3.9153114185576467,-0.1514327147872233,tqc,1.9048412229989393,0.026191743444764493
14,td3_tqc,1,0.39,1,0.5261058079100003,0.6729938736506116,2.0964139491706204,4.444177564908804,-0.1514327147872233,tqc,1.9048412229989393,0.19157272617168108
15,td3_tqc,1,0.39,1,0.4586356087800003,0.5833882679287403,1.8966417542415155,3.763724563796284,-0.1550029121526112,tqc,1.9048412229989393,-0.008199468757423833
