pair,stronger_model,weaker_model,stronger_sharpe,weaker_sharpe,base_sharpe_gap,base_return_correlation,weaker_better_day_rate,weaker_better_1bp_day_rate,base_dominance_index,base_block_rank_switches,base_block_winner_sequence,mean_base_block_return_gap,mean_holding_dispersion,sd_holding_dispersion,min_holding_dispersion,max_holding_dispersion
a2c_ppo,ppo,a2c,0.5877200594384551,0.2611299216985484,0.3265901377399067,0.9030413053727071,0.47619047619047616,0.46825396825396826,0.05453007451118074,2,ppo;a2c;a2c;ppo,0.05614615172764165,0.2273060657366419,0.06736410185252492,0.09754779048101027,0.39965517241379156
a2c_sac,sac,a2c,0.2810289911393602,0.2611299216985484,0.019899069440811823,0.812686394286117,0.5119047619047619,0.5079365079365079,0.0001235638822531044,3,a2c;sac;a2c;sac,0.09605362059472708,0.27092622986176307,0.06252308420806175,0.19150865402565526,0.4143499678732052
ppo_sac,ppo,sac,0.5877200594384551,0.2810289911393602,0.30669106829909487,0.8765798723671557,0.5079365079365079,0.503968253968254,0.038911361302461034,3,ppo;sac;ppo;sac,0.08461305733606458,0.19490611579849987,0.04455028107352192,0.1322163776868626,0.34603047313552404
