historical_advantage_quartile,selected_blocks,historical_advantage_mean,realized_advantage_mean,realized_win_rate,supported_both_sides,crossover_persisted
1,280,-6.802863766599972e-05,8.197187257579625e-05,0.8714285714285714,90,24
2,280,-3.455298216174082e-05,7.428948746164008e-05,0.5571428571428572,19,0
3,279,-1.4916035879572919e-05,0.00012295263592553384,0.6630824372759857,1,0
4,280,9.883506399060323e-06,9.742291630776347e-05,0.6178571428571429,18,0
