benchmark,success_column,feature,feature_label,feature_stage,successful_configs,failed_configs,successful_mean,failed_mean,mean_difference,cliffs_delta,pooled_descriptive_permutation_p,primary_permutation_p,analysis_unit,permutation_q_bh
Stronger single,success_vs_stronger,weaker_better_day_rate,Weaker-model daily win rate,pair_retrospective,7,8,0.5102040816326531,0.4885912698412698,0.021612811791383246,0.7142857142857143,0.016317016317016316,0.16666666666666666,3_rl_pair_clusters,0.6333333333333333
Stronger single,success_vs_stronger,ensemble_mode_hit_rate,Mode hit rate,realized_mechanism,7,8,0.5988845235333491,0.6453298133595853,-0.04644528982623619,-0.03571428571428571,0.356021756021756,0.32,classifier_groups_permuted_within_rl_pair,0.6333333333333333
Stronger single,success_vs_stronger,base_block_rank_switches,Base block-rank switches,pair_retrospective,7,8,3.0,2.375,0.625,0.625,0.02564102564102564,0.3333333333333333,3_rl_pair_clusters,0.6333333333333333
Stronger single,success_vs_stronger,base_dominance_index,Base dominance index,pair_retrospective,7,8,0.01674690563377079,0.04382458238038486,-0.027077676746614075,-0.7142857142857143,0.024087024087024088,0.3333333333333333,3_rl_pair_clusters,0.6333333333333333
Stronger single,success_vs_stronger,base_return_correlation,Base return correlation,pair_retrospective,7,8,0.8400693134637051,0.8851315832354955,-0.0450622697717904,-0.7142857142857143,0.024087024087024088,0.3333333333333333,3_rl_pair_clusters,0.6333333333333333
Stronger single,success_vs_stronger,mode_gap_balance,Two-sided mode-gap balance,realized_mechanism,7,8,0.8914669715718215,0.9270872880045571,-0.035620316432735555,-0.5,0.13333333333333333,0.36,classifier_groups_permuted_within_rl_pair,0.6333333333333333
Stronger single,success_vs_stronger,mean_counterfactual_regret,Counterfactual regret,realized_mechanism,7,8,0.0003643209417162143,0.0003208038861014869,4.351705561472742e-05,0.17857142857142858,0.4707070707070707,0.46,classifier_groups_permuted_within_rl_pair,0.6333333333333333
Stronger single,success_vs_stronger,base_sharpe_gap,Base Sharpe gap,pair_retrospective,7,8,0.1428099260943617,0.2832789868423169,-0.1404690607479552,-0.7142857142857143,0.03341103341103341,0.5,3_rl_pair_clusters,0.6333333333333333
Stronger single,success_vs_stronger,historical_policy_advantage_mean,Historical policy advantage,realized_mechanism,7,8,-2.0457734816894917e-05,-3.0291286798326236e-05,9.833551981431319e-06,0.2857142857142857,0.3968919968919969,0.5,classifier_groups_permuted_within_rl_pair,0.6333333333333333
Stronger single,success_vs_stronger,mean_vote_margin,Vote margin,decision_structure,7,8,0.5070759227385734,0.6049070621108774,-0.09783113937230403,0.03571428571428571,0.475990675990676,0.5,classifier_groups_permuted_within_rl_pair,0.6333333333333333
Stronger single,success_vs_stronger,selected_block_win_rate,Selected-block win rate,realized_mechanism,7,8,0.6444804128547971,0.5223958333333334,0.12208457952146368,0.17857142857142858,0.3198135198135198,0.5,classifier_groups_permuted_within_rl_pair,0.6333333333333333
Stronger single,success_vs_stronger,selected_agent_switch_rate,Selected-agent switch rate,decision_structure,7,8,0.009927035330261137,0.02158938172043011,-0.011662346390168972,-0.32142857142857145,0.06868686868686869,0.58,classifier_groups_permuted_within_rl_pair,0.68875
Stronger single,success_vs_stronger,aggressive_day_rate,Aggressive day rate,decision_structure,7,8,0.32983362019506596,0.27943440428380184,0.05039921591126412,0.0,0.756021756021756,0.8,classifier_groups_permuted_within_rl_pair,0.8941176470588236
Stronger single,success_vs_stronger,selected_day_rate,Active day rate,decision_structure,7,8,0.6473130617708931,0.6001338688085676,0.047179192962325534,-0.03571428571428571,0.7670551670551671,0.86,classifier_groups_permuted_within_rl_pair,0.9077777777777778
Stronger single,success_vs_stronger,mean_holding_dispersion,Holding dispersion,decision_structure,7,8,0.23834618097750743,0.22465859876774652,0.013687582209760907,0.17857142857142858,0.3667443667443667,1.0,classifier_groups_permuted_within_rl_pair,1.0
Stronger single,success_vs_stronger,crossover_persistence_rate,Supported crossover persistence,realized_mechanism,7,8,,0.11388888888888889,,,,,classifier_groups_permuted_within_rl_pair,
