classifier_group,pairs,mean_delta_sharpe_vs_causal,pairs_beating_causal,mean_delta_sharpe_vs_stronger,pairs_beating_stronger,mean_active_day_rate,mean_active_block_rate,mean_branch_divergence_rate,mean_mode_hit_rate
1,3,0.12677857926379327,2,-0.06178757654096576,1,0.7196340919232486,0.7194444444444444,1.0,0.5599270928488999
2,3,0.21076777425448057,2,0.022201618449721527,2,0.8340026773761714,0.8333333333333334,1.0,0.5645989782063489
3,3,0.003664479805390416,2,-0.1849016759993686,0,0.1419901829540384,0.14166666666666666,0.3455153949129852,0.7743400621826813
4,3,0.283051331059829,3,0.09448517525506994,2,0.8256581883087907,0.8250000000000001,1.0,0.5757821130239811
5,3,0.12008872501018203,3,-0.06847743079457698,2,0.5894689870593485,0.5888888888888889,0.7586345381526104,0.6436284776081306
