model,segment,mae,rmse,directional_accuracy
itransformer,calibration,0.018280881783585754,0.027186473074188262,0.496523915461624
itransformer,trade,0.0191103975674431,0.02823337168690904,0.5228384271765807
patchtst,calibration,0.017503545015637417,0.025898845206767124,0.4988876529477197
patchtst,trade,0.018581484905824723,0.027674602587846348,0.521059554708053
