pair,tau,classifier_groups,sharpe_across_groups_mean,sharpe_across_groups_min,sharpe_across_groups_max,min_delta_vs_stronger,min_delta_vs_simple_average,groups_beating_stronger,groups_beating_simple_average
patchtst_itransformer,0.01,5,0.34896198902085007,0.30652453146475434,0.3826353492074101,-0.01591090986526228,-0.06768897436149607,4,1
patchtst_itransformer,0.02,5,0.34896198902085007,0.30652453146475434,0.3826353492074101,-0.01591090986526228,-0.06768897436149607,4,1
patchtst_itransformer,0.03,5,0.34896198902085007,0.30652453146475434,0.3826353492074101,-0.01591090986526228,-0.06768897436149607,4,1
patchtst_itransformer,0.04,5,0.34896198902085007,0.30652453146475434,0.3826353492074101,-0.01591090986526228,-0.06768897436149607,4,1
patchtst_itransformer,0.05,5,0.34896198902085007,0.30652453146475434,0.3826353492074101,-0.01591090986526228,-0.06768897436149607,4,1
patchtst_itransformer,0.06,5,0.34896198902085007,0.30652453146475434,0.3826353492074101,-0.01591090986526228,-0.06768897436149607,4,1
patchtst_itransformer,0.07,5,0.34896198902085007,0.30652453146475434,0.3826353492074101,-0.01591090986526228,-0.06768897436149607,4,1
patchtst_itransformer,0.08,5,0.34896198902085007,0.30652453146475434,0.3826353492074101,-0.01591090986526228,-0.06768897436149607,4,1
patchtst_itransformer,0.09,5,0.34896198902085007,0.30652453146475434,0.3826353492074101,-0.01591090986526228,-0.06768897436149607,4,1
patchtst_itransformer,0.1,5,0.34896198902085007,0.30652453146475434,0.3826353492074101,-0.01591090986526228,-0.06768897436149607,4,1
patchtst_itransformer,0.11,5,0.34896198902085007,0.30652453146475434,0.3826353492074101,-0.01591090986526228,-0.06768897436149607,4,1
patchtst_itransformer,0.12,5,0.34896198902085007,0.30652453146475434,0.3826353492074101,-0.01591090986526228,-0.06768897436149607,4,1
patchtst_itransformer,0.13,5,0.3505330557700227,0.3138060076307003,0.3738118359189041,-0.008629433699316291,-0.06040749819555008,4,0
patchtst_itransformer,0.14,5,0.317142065230717,0.27667005499694824,0.34025199846812043,-0.04576538633306837,-0.09754345082930216,3,0
patchtst_itransformer,0.15,5,0.31019628696296353,0.267961587845634,0.33935572915973555,-0.054473853484382606,-0.1062519179806164,3,0
patchtst_itransformer,0.16,5,0.32193894394905226,0.28133151357465697,0.3517881503296716,-0.04110392775535965,-0.09288199225159344,3,0
patchtst_itransformer,0.17,5,0.3017450942430542,0.25122233662259863,0.3635134415607812,-0.07121310470741798,-0.12299116920365177,2,0
