window,model,segment,observations,mae,rmse,directional_accuracy
1,patchtst,calibration,1798,0.008090332596976028,0.011699388982430392,0.5556173526140156
1,patchtst,trade,1798,0.028212113882661073,0.04464478634501332,0.48053392658509453
1,itransformer,calibration,1798,0.008634365425408814,0.012233201083027221,0.4922135706340378
1,itransformer,trade,1798,0.027873663717937862,0.04372347301922719,0.5639599555061179
2,patchtst,calibration,1798,0.028446423899458687,0.04502723071924343,0.4721913236929922
2,patchtst,trade,1798,0.02011829337055152,0.02783007619953653,0.5578420467185762
2,itransformer,calibration,1798,0.028635996992447524,0.04543578648797965,0.5200222469410456
2,itransformer,trade,1798,0.020901794435095385,0.02902191362913443,0.5317018909899889
3,patchtst,calibration,1798,0.02038429050813033,0.028050907918029017,0.4827586206896552
3,patchtst,trade,1798,0.012809672706858654,0.018602377647240056,0.5444938820912124
3,itransformer,calibration,1798,0.02174284105148177,0.030797219170014548,0.4860956618464961
3,itransformer,trade,1798,0.013170198235238895,0.019071613880522906,0.5216907675194661
4,patchtst,calibration,1798,0.013093133057984622,0.018817853207365655,0.4849833147942158
4,patchtst,trade,1827,0.01318585966322764,0.019621170159595483,0.5013683634373289
4,itransformer,calibration,1798,0.014110323665004905,0.020279685555731623,0.4877641824249166
4,itransformer,trade,1827,0.014495933881500256,0.02111648621875164,0.47400109469074986
