repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,component_cumulative_return,component_sharpe,component_calmar,component_max_drawdown,stronger_component,delta_sharpe,beats_stronger_component
0,a2c_ppo,1,0.27,1,0.35633213250000106,0.45449887297014047,1.6763142544805418,4.2062961538825485,-0.10805203826426324,0.33450637873000155,1.1603474032763805,1.4987554367859073,-0.2840894562637336,a2c,0.5159668512041613,True
1,a2c_ppo,1,0.27,1,0.35633213250000106,0.45449887297014047,1.6763142544805418,4.2062961538825485,-0.10805203826426324,0.33450637873000155,1.1603474032763805,1.4987554367859073,-0.2840894562637336,a2c,0.5159668512041613,True
2,a2c_ppo,1,0.27,1,0.35633213250000106,0.45449887297014047,1.6763142544805418,4.2062961538825485,-0.10805203826426324,0.33450637873000155,1.1603474032763805,1.4987554367859073,-0.2840894562637336,a2c,0.5159668512041613,True
3,a2c_ppo,1,0.27,1,0.3562287750100004,0.4543626243293821,1.6758270855616384,4.204738773878967,-0.10805965572748821,0.33450637873000155,1.1603474032763805,1.4987554367859073,-0.2840894562637336,a2c,0.5154796822852579,True
4,a2c_ppo,1,0.27,1,0.35633213250000106,0.45449887297014047,1.6763142544805418,4.2062961538825485,-0.10805203826426324,0.33450637873000155,1.1603474032763805,1.4987554367859073,-0.2840894562637336,a2c,0.5159668512041613,True
5,a2c_ppo,1,0.27,1,0.35695148343000094,0.4553153679946278,1.6793906019958673,4.215632655981312,-0.10800641449358916,0.33450637873000155,1.1603474032763805,1.4987554367859073,-0.2840894562637336,a2c,0.5190431987194868,True
6,a2c_ppo,1,0.27,1,0.3562287750100004,0.4543626243293821,1.6758270855616384,4.204738773878967,-0.10805965572748821,0.33450637873000155,1.1603474032763805,1.4987554367859073,-0.2840894562637336,a2c,0.5154796822852579,True
7,a2c_ppo,1,0.27,1,0.35633213250000106,0.45449887297014047,1.6763142544805418,4.2062961538825485,-0.10805203826426324,0.33450637873000155,1.1603474032763805,1.4987554367859073,-0.2840894562637336,a2c,0.5159668512041613,True
8,a2c_ppo,1,0.27,1,0.35800158845000096,0.4566999246369352,1.6846021319603042,4.231479024680762,-0.107929147698278,0.33450637873000155,1.1603474032763805,1.4987554367859073,-0.2840894562637336,a2c,0.5242547286839236,True
9,a2c_ppo,1,0.27,1,0.35633213250000106,0.45449887297014047,1.6763142544805418,4.2062961538825485,-0.10805203826426324,0.33450637873000155,1.1603474032763805,1.4987554367859073,-0.2840894562637336,a2c,0.5159668512041613,True
10,a2c_ppo,1,0.27,1,0.35633213250000106,0.45449887297014047,1.6763142544805418,4.2062961538825485,-0.10805203826426324,0.33450637873000155,1.1603474032763805,1.4987554367859073,-0.2840894562637336,a2c,0.5159668512041613,True
