repeat,model,cumulative_return,annualized_return,sharpe,calmar,max_drawdown
0,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
0,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
0,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
1,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
1,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
1,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
2,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
2,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
2,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
3,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
3,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
3,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
4,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
4,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
4,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
5,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
5,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
5,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
6,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
6,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
6,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
7,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
7,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
7,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
8,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
8,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
8,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
9,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
9,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
9,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
10,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
10,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
10,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
11,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
11,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
11,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
12,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
12,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
12,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
13,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
13,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
13,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
14,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
14,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
14,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
15,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
15,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
15,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
16,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
16,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
16,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
17,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
17,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
17,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
18,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
18,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
18,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
19,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
19,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
19,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
20,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
20,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
20,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
21,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
21,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
21,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
22,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
22,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
22,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
23,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
23,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
23,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
24,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
24,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
24,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
25,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
25,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
25,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
26,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
26,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
26,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
27,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
27,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
27,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
28,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
28,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
28,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
29,a2c,0.33450637873000155,0.425780617108823,1.1603474032763805,1.4987554367859073,-0.2840894562637336
29,ppo,0.053207648080001446,0.06580008725159625,0.7239372966100496,1.2611338499001106,-0.052175339879115934
29,sac,0.6731917202899995,0.882771646154495,1.9675080267095597,4.030630429924325,-0.2190157747037773
