model,model_tag,timesteps,is_best,best_step_so_far,validation_samples,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,window,train_start,train_end,calibration_start,calibration_end,calibration_source
tqc,rolling_w3_100000_seed42,20000,True,20000,62,0.0062463120599995,0.0256322721959898,0.2459579108983182,0.1319297927482618,-0.1942872164204742,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade
tqc,rolling_w3_100000_seed42,40000,False,20000,62,0.0062463120599995,0.0256322721959898,0.2459579108983182,0.1319297927482618,-0.1942872164204742,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade
tqc,rolling_w3_100000_seed42,60000,False,20000,62,0.0062463120599995,0.0256322721959898,0.2459579108983182,0.1319297927482618,-0.1942872164204742,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade
tqc,rolling_w3_100000_seed42,80000,False,20000,62,0.0062463120599995,0.0256322721959898,0.2459579108983182,0.1319297927482618,-0.1942872164204742,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade
tqc,rolling_w3_100000_seed42,100000,False,20000,62,0.0062463120599995,0.0256322721959898,0.2459579108983182,0.1319297927482618,-0.1942872164204742,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade
td3,rolling_w4_100000_seed42,20000,True,20000,62,0.3472205218800002,2.358192922767969,3.3203188837583206,22.316411705678068,-0.1056707930409781,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade
td3,rolling_w4_100000_seed42,40000,False,20000,62,0.3472205218800002,2.358192922767969,3.3203188837583206,22.316411705678068,-0.1056707930409781,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade
td3,rolling_w4_100000_seed42,60000,False,20000,62,0.3472205218800002,2.358192922767969,3.3203188837583206,22.316411705678068,-0.1056707930409781,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade
td3,rolling_w4_100000_seed42,80000,False,20000,62,0.3472205218800002,2.358192922767969,3.3203188837583206,22.316411705678068,-0.1056707930409781,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade
td3,rolling_w4_100000_seed42,100000,False,20000,62,0.3472205218800002,2.358192922767969,3.3203188837583206,22.316411705678068,-0.1056707930409781,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade
tqc,rolling_w4_100000_seed42,20000,True,20000,62,0.3501780170000004,2.388257868623724,2.969647904710962,14.56756316600458,-0.163943539589178,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade
tqc,rolling_w4_100000_seed42,40000,False,20000,62,0.3501780170000004,2.388257868623724,2.969647904710962,14.56756316600458,-0.163943539589178,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade
tqc,rolling_w4_100000_seed42,60000,False,20000,62,0.3501780170000004,2.388257868623724,2.969647904710962,14.56756316600458,-0.163943539589178,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade
tqc,rolling_w4_100000_seed42,80000,False,20000,62,0.3501780170000004,2.388257868623724,2.969647904710962,14.56756316600458,-0.163943539589178,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade
tqc,rolling_w4_100000_seed42,100000,False,20000,62,0.3501780170000004,2.388257868623724,2.969647904710962,14.56756316600458,-0.163943539589178,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade
