pair,classifier_group,selected_global_tau,tau_count,tau_beating_stronger,tau_beating_simple_average,tau_beating_stronger_min,tau_beating_stronger_max,tau_within_0.01_sharpe_of_best
td3_tqc,1,0.7,89,0,20,,,20
td3_tqc,2,0.7,89,0,20,,,20
td3_tqc,3,0.41,89,1,89,0.41,0.41,50
td3_tqc,4,0.7,89,0,20,,,20
td3_tqc,5,0.7,89,0,20,,,20
