pair,classifier_group,n_backtests,wins_vs_stronger,win_rate_vs_stronger,delta_sharpe_mean,delta_sharpe_q25,delta_sharpe_median,delta_sharpe_q75,delta_sharpe_min,delta_sharpe_max,one_sided_sign_test_p
td3_tqc,1,30,0,0.0,-0.10290812767379375,-0.11126088750376911,-0.10532450147924632,-0.09315685585107197,-0.11548826906275766,-0.07755128166851177,1.0
td3_tqc,2,30,0,0.0,-0.0917625374772399,-0.09176253747723995,-0.09176253747723995,-0.09176253747723995,-0.09176253747723995,-0.09176253747723995,1.0
td3_tqc,3,30,8,0.26666666666666666,0.001292251230708589,0.0,0.0,0.003634456586367907,0.0,0.004845942115157209,0.00390625
td3_tqc,4,30,0,0.0,-0.09205069998468561,-0.09181602468974526,-0.0917892810834926,-0.09176253747723995,-0.09424719132032,-0.08855412412291574,1.0
td3_tqc,5,30,0,0.0,-0.08958714969303262,-0.09181602468974526,-0.08884275929658236,-0.08884275929658236,-0.09275539481434292,-0.07638462867352724,1.0
