pair,tau,classifier_groups,sharpe_across_groups_mean,sharpe_across_groups_min,sharpe_across_groups_max,min_delta_vs_stronger,min_delta_vs_simple_average,groups_beating_stronger,groups_beating_simple_average
td3_tqc,0.01,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
td3_tqc,0.02,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
td3_tqc,0.03,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
td3_tqc,0.04,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
td3_tqc,0.05,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
td3_tqc,0.06,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
td3_tqc,0.07,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
td3_tqc,0.08,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
td3_tqc,0.09,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
td3_tqc,0.1,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
td3_tqc,0.11,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
td3_tqc,0.12,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
td3_tqc,0.13,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
td3_tqc,0.14,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
td3_tqc,0.15,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
td3_tqc,0.16,5,1.2317914731852615,1.092999907769243,1.592680136157628,-0.514749304565441,-0.3372727671192617,0,1
