window,pair,segment,samples,mean_holding_l1,mean_dispersion,identical_holding_rate
1,td3_tqc,calibration,62,20057.1935483871,0.658398237576052,0.0
1,td3_tqc,trade,62,19390.8064516129,0.6542575264667961,0.0
2,td3_tqc,calibration,62,7654.935483870968,0.3646224331130121,0.0
2,td3_tqc,trade,62,37218.06451612903,0.46135843230811563,0.0
3,td3_tqc,calibration,62,6457.822580645161,0.3402924955114489,0.0
3,td3_tqc,trade,62,52640.8064516129,0.41244574636122844,0.0
4,td3_tqc,calibration,62,19174.08064516129,0.6357955283287107,0.0
4,td3_tqc,trade,16,55484.3125,0.38968988596964727,0.0
