window,model,segment,observations,mae,rmse,directional_accuracy
1,patchtst,calibration,1612,0.010552198781729333,0.014693245495172038,0.4826302729528536
1,patchtst,trade,1612,0.010553199866663336,0.014955825891513138,0.49193548387096775
1,itransformer,calibration,1612,0.010995113917462997,0.015169100964907794,0.47022332506203474
1,itransformer,trade,1612,0.010758129475164852,0.015032535339042382,0.47766749379652607
2,patchtst,calibration,1612,0.010626893239683698,0.014998235945878517,0.47890818858560796
2,patchtst,trade,1612,0.016066484068092808,0.021677666128350755,0.44044665012406947
2,itransformer,calibration,1612,0.010799278467201471,0.015080472122474688,0.4993796526054591
2,itransformer,trade,1612,0.016826341808062976,0.02254074511597185,0.4447890818858561
3,patchtst,calibration,1612,0.015682397461838107,0.021426307774683538,0.4956575682382134
3,patchtst,trade,1612,0.01655935826094176,0.025545229039990756,0.5018610421836228
3,itransformer,calibration,1612,0.01701849743435798,0.02313651415811617,0.49069478908188585
3,itransformer,trade,1612,0.01741408395441835,0.026113007860500897,0.4813895781637717
4,patchtst,calibration,1612,0.016518912480025093,0.025477520491532717,0.4844913151364764
4,patchtst,trade,468,0.015504859760363579,0.022177836485942085,0.44017094017094016
4,itransformer,calibration,1612,0.01822348018573105,0.026811918011711653,0.478287841191067
4,itransformer,trade,468,0.01669381967742648,0.023439250037493285,0.4636752136752137
