model,segment,mae,rmse,directional_accuracy
itransformer,calibration,0.014259092501188375,0.020049501314302574,0.48464640198511166
itransformer,trade,0.015423093728768164,0.021781384588252104,0.4668803418803419
patchtst,calibration,0.013345100490819058,0.019148827426816704,0.48542183622828783
patchtst,trade,0.014670975489015371,0.021089139386449185,0.46860352908740005
