model,n_backtests,cumulative_return_mean,cumulative_return_sd,cumulative_return_ci_low,cumulative_return_ci_high,sharpe_mean,sharpe_sd,sharpe_ci_low,sharpe_ci_high,calmar_mean,calmar_sd,calmar_ci_low,calmar_ci_high,max_drawdown_mean,max_drawdown_sd,max_drawdown_ci_low,max_drawdown_ci_high
a2c,30,0.030783797711071426,0.0,0.030783797711071426,0.030783797711071426,0.2611299216985483,5.646012854083702e-17,0.2611299216985483,0.2611299216985483,0.09707516426235469,2.823006427041851e-17,0.09707516426235469,0.09707516426235469,-0.31711301180882195,5.646012854083702e-17,-0.31711301180882195,-0.31711301180882195
ppo,30,0.13246629679556782,5.646012854083702e-17,0.13246629679556782,0.13246629679556782,0.587720059438455,1.1292025708167404e-16,0.587720059438455,0.587720059438455,0.648879710775755,2.2584051416334807e-16,0.648879710775755,0.648879710775755,-0.20414615312474557,2.823006427041851e-17,-0.20414615312474557,-0.20414615312474557
sac,30,0.03044161039736526,0.0,0.03044161039736526,0.03044161039736526,0.28102899113936014,5.646012854083702e-17,0.28102899113936014,0.28102899113936014,0.07888339530748373,2.823006427041851e-17,0.07888339530748373,0.07888339530748373,-0.3859064417638885,5.646012854083702e-17,-0.3859064417638885,-0.3859064417638885
