pair,classifier_group,selected_global_tau,stronger_component,ensemble_cumulative_return,component_cumulative_return,ensemble_sharpe,component_sharpe,ensemble_calmar,component_calmar,ensemble_max_drawdown,component_max_drawdown,delta_sharpe_ci_low,delta_sharpe_ci_high,wins_vs_stronger,n_backtests,delta_cumulative_return,delta_sharpe,delta_calmar,delta_max_drawdown,beats_global_best_single_sharpe
a2c_ppo,1,0.33,ppo,0.12144524459041298,0.13246629679556787,0.5517481084240216,0.5877200594384551,0.5277409103263692,0.6488797107757548,-0.23011322255367433,-0.2041461531247456,-0.05437261642217676,-0.0175712856066901,8,30,-0.011021052205154896,-0.03597195101443351,-0.12113880044938563,-0.025967069428928735,False
a2c_ppo,2,0.33,ppo,0.16275745454184473,0.13246629679556787,0.6616900773862356,0.5877200594384551,0.6987997810998733,0.6488797107757548,-0.23290999645946248,-0.2041461531247456,0.07397001794778033,0.07397001794778033,30,30,0.03029115774627686,0.07397001794778058,0.04992007032411849,-0.028763843334716876,True
a2c_ppo,3,0.28,ppo,0.04008301525151285,0.13246629679556787,0.2865085637029749,0.5877200594384551,0.1263997810208989,0.6488797107757548,-0.31711301180882207,-0.2041461531247456,-0.3256061281413211,-0.276816863329639,0,30,-0.09238328154405502,-0.3012114957354802,-0.5224799297548559,-0.11296685868407647,False
a2c_ppo,4,0.33,ppo,0.16976840945302663,0.13246629679556787,0.6891548808549351,0.5877200594384551,0.7287326314025919,0.6488797107757548,-0.23296391864087845,-0.2041461531247456,0.09416147150791929,0.10870817132504065,30,30,0.03730211265745875,0.10143482141648008,0.07985292062683713,-0.028817765516132854,True
a2c_ppo,5,0.33,ppo,0.13170243328062198,0.13246629679556787,0.5716653503239095,0.5877200594384551,0.5487542922325663,0.6488797107757548,-0.24032973962312812,-0.2041461531247456,-0.029069373593837995,-0.0030400446352532307,7,30,-0.000763863514945895,-0.01605470911454554,-0.10012541854318846,-0.03618358649838252,False
a2c_sac,1,0.37,sac,0.18158916510019246,0.03044161039736526,0.6284904911604648,0.2810289911393602,0.5661222025550433,0.0788833953074837,-0.32253028253353333,-0.38590644176388855,0.3130271385449318,0.3818958614972776,30,30,0.1511475547028272,0.34746150002110465,0.48723880724755964,0.06337615923035522,True
a2c_sac,2,0.39,sac,0.19988827305559945,0.03044161039736526,0.6710345844181037,0.2810289911393602,0.6345955795214443,0.0788833953074837,-0.31502733710099673,-0.38590644176388855,0.3862732136132115,0.3937379729442751,30,30,0.1694466626582342,0.3900055932787435,0.5557121842139606,0.07087910466289182,True
a2c_sac,3,0.28,sac,0.0582854161535668,0.03044161039736526,0.33214184808991687,0.2810289911393602,0.18380014059058963,0.0788833953074837,-0.31711301180882207,-0.38590644176388855,-0.00649529776880526,0.10872101166991865,8,30,0.027843805756201538,0.05111285695055667,0.10491674528310593,0.06879342995506649,False
a2c_sac,4,0.37,sac,0.19292326162760637,0.03044161039736526,0.6542891256597836,0.2810289911393602,0.6037362918910835,0.0788833953074837,-0.3216216659846004,-0.38590644176388855,0.3539056071923874,0.3926146618484594,30,30,0.1624816512302411,0.3732601345204234,0.5248528965835998,0.06428477577928815,True
a2c_sac,5,0.37,sac,0.19577346096984377,0.03044161039736526,0.660619771013361,0.2810289911393602,0.6157185907339504,0.0788833953074837,-0.31796842160642314,-0.38590644176388855,0.37600745159453736,0.3831741081534646,30,30,0.1653318505724785,0.3795907798740008,0.5368351954264667,0.06793802015746542,True
ppo_sac,1,0.01,ppo,0.1769446004735843,0.13246629679556787,0.7128644833317118,0.5877200594384551,0.8463546083993374,0.6488797107757548,-0.21247300276934328,-0.2041461531247456,0.05669250750940742,0.19359634027710582,16,30,0.04447830367801642,0.12514442389325675,0.1974748976235826,-0.008326849644597678,True
ppo_sac,2,0.16,ppo,0.16643246885690727,0.13246629679556787,0.6932597529776634,0.5877200594384551,0.7800615837060482,0.6488797107757548,-0.2133581147095998,-0.2041461531247456,0.10553969353920838,0.10553969353920838,30,30,0.033966172061339395,0.10553969353920833,0.13118187293029338,-0.009211961584854211,True
ppo_sac,3,0.01,ppo,0.14206909470698517,0.13246629679556787,0.6115114471144791,0.5877200594384551,0.6959185491982914,0.6488797107757548,-0.20414615312474557,-0.2041461531247456,-0.008186993031240316,0.055769768383288676,5,30,0.009602797911417299,0.023791387676024067,0.047038838422536644,2.7755575615628914e-17,True
ppo_sac,4,0.16,ppo,0.21116915758924992,0.13246629679556787,0.8198213949453474,0.5877200594384551,0.9841501279108379,0.6488797107757548,-0.21452500881386338,-0.2041461531247456,0.1866244708516878,0.2775782001620971,30,30,0.07870286079368205,0.23210133550689238,0.3352704171350831,-0.010378855689117783,True
ppo_sac,5,0.16,ppo,0.1554565167041266,0.13246629679556787,0.6603450346080028,0.5877200594384551,0.7637403855321856,0.6488797107757548,-0.20354308054891004,-0.2041461531247456,0.04308452944052246,0.1021654208985725,29,30,0.022990219908558734,0.07262497516954769,0.1148606747564308,0.000603072575835556,True
