pair,classifier_group,selected_global_tau,ensemble_return_mean,ensemble_return_sd,ensemble_return_ci_low,ensemble_return_ci_high,ensemble_sharpe_mean,ensemble_sharpe_sd,ensemble_sharpe_ci_low,ensemble_sharpe_ci_high,ensemble_calmar_mean,ensemble_calmar_sd,ensemble_calmar_ci_low,ensemble_calmar_ci_high,ensemble_mdd_mean,ensemble_mdd_sd,ensemble_mdd_ci_low,ensemble_mdd_ci_high,stronger_component,component_sharpe_mean,delta_sharpe_mean,delta_sharpe_sd,delta_sharpe_ci_low,delta_sharpe_ci_high,win_rate_vs_stronger,wins_vs_stronger,n_backtests
a2c_ppo,1,0.33,0.12144524459041298,0.015075953975724475,0.11581579085839479,0.12707469832243118,0.5517481084240216,0.049277886987871486,0.5333474430162782,0.5701487738317649,0.5277409103263692,0.06532960571208321,0.5033464346414903,0.552135386011248,-0.23011322255367433,0.0005349063859155512,-0.2303129598807663,-0.22991348522658236,ppo,0.5877200594384551,-0.03597195101443343,0.04927788698787148,-0.05437261642217676,-0.0175712856066901,0.26666666666666666,8,30
a2c_ppo,2,0.33,0.16275745454184473,8.469019281125553e-17,0.16275745454184473,0.16275745454184473,0.6616900773862356,2.2584051416334807e-16,0.6616900773862356,0.6616900773862356,0.6987997810998733,2.2584051416334807e-16,0.6987997810998733,0.6987997810998733,-0.23290999645946248,5.646012854083702e-17,-0.23290999645946248,-0.23290999645946248,ppo,0.5877200594384551,0.07397001794778033,2.823006427041851e-17,0.07397001794778033,0.07397001794778033,1.0,30,30
a2c_ppo,3,0.28,0.04008301525151285,0.024461603821348477,0.03094890226967594,0.04921712823334976,0.2865085637029749,0.0653300254185281,0.26211393129713384,0.31090319610881595,0.1263997810208989,0.07713844248086432,0.09759581321858246,0.15520374882321536,-0.31711301180882207,5.646012854083702e-17,-0.31711301180882207,-0.31711301180882207,ppo,0.5877200594384551,-0.30121149573548006,0.06533002541852809,-0.3256061281413211,-0.276816863329639,0.0,0,30
a2c_ppo,4,0.33,0.16976840945302663,0.007027161797672157,0.16714442411378377,0.17239239479226948,0.6891548808549351,0.019478388790574456,0.6818815309463745,0.6964282307634958,0.7287326314025919,0.030164163784112675,0.7174691475354278,0.7399961152697561,-0.23296391864087845,5.646012854083702e-17,-0.23296391864087845,-0.23296391864087845,ppo,0.5877200594384551,0.10143482141647997,0.019478388790574456,0.09416147150791929,0.10870817132504065,1.0,30,30
a2c_ppo,5,0.33,0.13170243328062198,0.010240927115263363,0.1278784082496902,0.13552645831155374,0.5716653503239095,0.03485391159418343,0.5586506858446172,0.5846800148032019,0.5487542922325663,0.049092735693335436,0.5304227634544315,0.5670858210107012,-0.24032973962312812,0.0058279677077317515,-0.2425059385300232,-0.23815354071623304,ppo,0.5877200594384551,-0.016054709114545613,0.03485391159418343,-0.029069373593837995,-0.0030400446352532307,0.23333333333333334,7,30
a2c_sac,1,0.37,0.18158916510019246,0.040149108049121925,0.1665972417692863,0.19658108843109862,0.6284904911604648,0.09221691366706215,0.594056129684292,0.6629248526366377,0.5661222025550433,0.13328247865172088,0.5163537071041603,0.6158906980059263,-0.32253028253353333,0.01500159836384234,-0.3281319714237723,-0.31692859364329434,sac,0.2810289911393602,0.3474615000211047,0.09221691366706215,0.3130271385449318,0.3818958614972776,1.0,30,30
a2c_sac,2,0.39,0.19988827305559945,0.004026495594712772,0.19838475489090424,0.20139179122029466,0.6710345844181037,0.009995496319198787,0.6673022047525718,0.6747669640836356,0.6345955795214443,0.016170208851392198,0.6285575243036743,0.6406336347392143,-0.31502733710099673,0.0017250717038340712,-0.3156714894615561,-0.31438318474043736,sac,0.2810289911393602,0.3900055932787433,0.009995496319198787,0.3862732136132115,0.3937379729442751,1.0,30,30
a2c_sac,3,0.28,0.0582854161535668,0.05992427384555629,0.03590932455886318,0.08066150774827041,0.33214184808991687,0.15427747176175008,0.2745336933705549,0.38975000280927885,0.18380014059058963,0.18896819623939887,0.1132382564626892,0.25436202471849007,-0.31711301180882207,5.646012854083702e-17,-0.31711301180882207,-0.31711301180882207,sac,0.2810289911393602,0.051112856950556694,0.15427747176175008,-0.00649529776880526,0.10872101166991865,0.26666666666666666,8,30
a2c_sac,4,0.37,0.19292326162760637,0.022055058603867694,0.18468776739836265,0.20115875585685009,0.6542891256597836,0.05183237612555429,0.6349345983317476,0.6736436529878196,0.6037362918910835,0.08408389898265677,0.5723388480084113,0.6351337357737556,-0.3216216659846004,0.015496156788879816,-0.3274080260257338,-0.315835305943467,sac,0.2810289911393602,0.3732601345204234,0.05183237612555429,0.3539056071923874,0.3926146618484594,1.0,30,30
a2c_sac,5,0.37,0.19577346096984377,0.0038877350065887354,0.19432175686029424,0.1972251650793933,0.660619771013361,0.009596329376303066,0.6570364427338974,0.6642030992928246,0.6157185907339504,0.013017025841070277,0.610857953402556,0.6205792280653448,-0.31796842160642314,0.0008217066277272255,-0.31827525190383127,-0.317661591309015,sac,0.2810289911393602,0.37959077987400097,0.009596329376303066,0.37600745159453736,0.3831741081534646,1.0,30,30
ppo_sac,1,0.01,0.1769446004735843,0.06065855817981748,0.15429432260234222,0.19959487834482637,0.7128644833317118,0.18331759884330376,0.6444125669478626,0.781316399715561,0.8463546083993374,0.30589562775318707,0.732131303788826,0.9605779130098488,-0.21247300276934328,0.022531053405907116,-0.22088623637873347,-0.20405976915995308,ppo,0.5877200594384551,0.1251444238932566,0.18331759884330376,0.05669250750940742,0.19359634027710582,0.5333333333333333,16,30
ppo_sac,2,0.16,0.16643246885690727,5.646012854083702e-17,0.16643246885690727,0.16643246885690727,0.6932597529776634,0.0,0.6932597529776634,0.6932597529776634,0.7800615837060482,2.2584051416334807e-16,0.7800615837060482,0.7800615837060482,-0.2133581147095998,5.646012854083702e-17,-0.2133581147095998,-0.2133581147095998,ppo,0.5877200594384551,0.10553969353920838,4.2345096405627763e-17,0.10553969353920838,0.10553969353920838,1.0,30,30
ppo_sac,3,0.01,0.14206909470698517,0.03018239011124439,0.13079880501741953,0.15333938439655082,0.6115114471144791,0.08563967637195193,0.5795330664072147,0.6434898278217436,0.6959185491982914,0.14784696967961541,0.6407115834188343,0.7511255149777486,-0.20414615312474557,2.823006427041851e-17,-0.20414615312474557,-0.20414615312474557,ppo,0.5877200594384551,0.02379138767602418,0.08563967637195193,-0.008186993031240316,0.055769768383288676,0.16666666666666666,5,30
ppo_sac,4,0.16,0.21116915758924992,0.0429037417120409,0.1951486371440894,0.22718967803441045,0.8198213949453474,0.12178928029955083,0.7743445302901428,0.8652982596005521,0.9841501279108379,0.1988544168354959,0.9098966683430105,1.0584035874786653,-0.21452500881386338,0.004440757846309923,-0.2161832150455322,-0.21286680258219456,ppo,0.5877200594384551,0.23210133550689244,0.12178928029955084,0.1866244708516878,0.2775782001620971,1.0,30,30
ppo_sac,5,0.16,0.1554565167041266,0.026349874173140605,0.14561731198507213,0.16529572142318108,0.6603450346080028,0.07911076659182471,0.6308045888789777,0.6898854803370278,0.7637403855321856,0.12942126239122229,0.7154136919283229,0.8120670791360483,-0.20354308054891004,0.0004655820853150802,-0.20371693175673133,-0.20336922934108875,ppo,0.5877200594384551,0.07262497516954748,0.07911076659182471,0.04308452944052246,0.1021654208985725,0.9666666666666667,29,30
