pair,classifier_group,selected_global_tau,stronger_component,ensemble_cumulative_return,component_cumulative_return,ensemble_sharpe,component_sharpe,ensemble_calmar,component_calmar,ensemble_max_drawdown,component_max_drawdown,delta_sharpe_ci_low,delta_sharpe_ci_high,wins_vs_stronger,n_backtests,delta_cumulative_return,delta_sharpe,delta_calmar,delta_max_drawdown,beats_global_best_single_sharpe
a2c_ppo,1,0.4,ppo,0.589545013773334,0.4919368881699995,2.22472094134477,1.8413295497115678,4.105672562985899,3.2957368267290503,-0.18463161035616044,-0.1903989533724235,0.3811972444862352,0.3855855387801684,30,30,0.09760812560333454,0.38339139163320235,0.8099357362568487,0.005767343016263055,True
a2c_ppo,2,0.23,ppo,0.6381354425899999,0.4919368881699995,2.45741364237592,1.8413295497115678,4.110758346347747,3.2957368267290503,-0.20037072114093216,-0.1903989533724235,0.6160840926643516,0.6160840926643516,30,30,0.1461985544200004,0.616084092664352,0.8150215196186963,-0.009971767768508666,True
a2c_ppo,3,0.29,ppo,0.4069169513130006,0.4919368881699995,1.6448370104866565,1.8413295497115678,2.4749010966864597,3.2957368267290503,-0.22711029043752642,-0.1903989533724235,-0.4061964499422368,0.013211371492414553,12,30,-0.08501993685699888,-0.19649253922491128,-0.8208357300425906,-0.036711337065102934,False
a2c_ppo,4,0.4,ppo,0.5803379943163344,0.4919368881699995,2.1983048637100415,1.8413295497115678,4.050754608733088,3.2957368267290503,-0.1840766304062815,-0.1903989533724235,0.3564166879652434,0.35753394003170513,30,30,0.0884011061463349,0.3569753139984737,0.755017782004038,0.006322322966141991,True
a2c_ppo,5,0.4,ppo,0.5873055998713342,0.4919368881699995,2.218906147817466,1.8413295497115678,4.0898001406679665,3.2957368267290503,-0.1846136144254065,-0.1903989533724235,0.36503192630720666,0.3901212699045891,30,30,0.09536871170133476,0.37757659810589805,0.7940633139389162,0.005785338947016994,True
a2c_sac,1,0.01,sac,0.5819839969679996,0.4780608389700005,2.2302721602642106,1.8335241913960623,4.15820048340485,3.2351394385184244,-0.1798524726130584,-0.1882750241063006,0.3941426815311033,0.3993532562051939,30,30,0.10392315799799912,0.39674796886814834,0.9230610448864258,0.008422551493242197,True
a2c_sac,2,0.01,sac,0.4968829556250002,0.4780608389700005,2.003598722927174,1.8335241913960623,3.5217973431859693,3.2351394385184244,-0.18004334517577608,-0.1882750241063006,0.16751909057778305,0.1726299724844411,30,30,0.018822116654999665,0.17007453153111163,0.2866579046675448,0.00823167893052451,True
a2c_sac,3,0.35,sac,0.36381948693566707,0.4780608389700005,1.5078136754790876,1.8335241913960623,2.2290861813168594,3.2351394385184244,-0.22678590613794544,-0.1882750241063006,-0.4837149771936565,-0.16770605464029195,7,30,-0.11424135203433344,-0.32571051591697464,-1.006053257201565,-0.03851088203164485,False
a2c_sac,4,0.01,sac,0.5836108019309999,0.4780608389700005,2.235240798578267,1.8335241913960623,4.167165659632792,3.2351394385184244,-0.17999028877383166,-0.1882750241063006,0.4013466702797255,0.4020865440846838,30,30,0.10554996296099939,0.4017166071822049,0.9320262211143673,0.008284735332468929,True
a2c_sac,5,0.01,sac,0.5433002953876664,0.4780608389700005,2.125622724174861,1.8335241913960623,3.8707630665268193,3.2351394385184244,-0.17985740683961354,-0.1882750241063006,0.243427026861211,0.34077003869638656,30,30,0.06523945641766593,0.2920985327787986,0.6356236280083949,0.00841761726668705,True
ppo_sac,1,0.01,ppo,0.49482830981266696,0.4919368881699995,1.8949539070715862,1.8413295497115678,3.488366280621046,3.2957368267290503,-0.1809903785377572,-0.1903989533724235,0.052704454800217744,0.054544259919819,30,30,0.00289142164266748,0.05362435736001836,0.1926294538919957,0.009408574834666283,True
ppo_sac,2,0.23,ppo,0.4977750822599999,0.4919368881699995,1.9095123752226821,1.8413295497115678,3.4803122817019125,3.2957368267290503,-0.18252997943843052,-0.1903989533724235,0.06818282551111432,0.06818282551111432,30,30,0.005838194090000415,0.06818282551111432,0.1845754549728622,0.007868973933992968,True
ppo_sac,3,0.01,ppo,0.49955241772866626,0.4919368881699995,1.8955572592481131,1.8413295497115678,3.4876390959860766,3.2957368267290503,-0.1832712407779861,-0.1903989533724235,0.03175377089885889,0.07670164817423238,23,30,0.007615529558666789,0.05422770953654532,0.19190226925702625,0.0071277125944373965,True
ppo_sac,4,0.23,ppo,0.49096939479999985,0.4919368881699995,1.8822993489641255,1.8413295497115678,3.3891321215951886,3.2957368267290503,-0.18477470548831754,-0.1903989533724235,0.032009041219837484,0.049930557285277816,30,30,-0.000967493369999628,0.040969799252557726,0.09339529486613829,0.005624247884105954,True
ppo_sac,5,0.23,ppo,0.4891097345126664,0.4919368881699995,1.8750182702369809,1.8413295497115678,3.3956371382437625,3.2957368267290503,-0.18370924765904612,-0.1903989533724235,0.023899268149869084,0.043478172900956936,29,30,-0.002827153657333048,0.03368872052541305,0.09990031151471213,0.006689705713377375,True
