model,n_backtests,cumulative_return_mean,cumulative_return_sd,cumulative_return_ci_low,cumulative_return_ci_high,sharpe_mean,sharpe_sd,sharpe_ci_low,sharpe_ci_high,calmar_mean,calmar_sd,calmar_ci_low,calmar_ci_high,max_drawdown_mean,max_drawdown_sd,max_drawdown_ci_low,max_drawdown_ci_high
a2c,30,0.28732643016000026,0.0,0.28732643016000026,0.28732643016000026,1.2204170962565466,2.2584051416334807e-16,1.2204170962565466,1.2204170962565466,1.3701414349549377,0.0,1.3701414349549377,1.3701414349549377,-0.2627354988460195,5.646012854083702e-17,-0.2627354988460195,-0.2627354988460195
ppo,30,0.49193688816999936,1.1292025708167404e-16,0.49193688816999936,0.49193688816999936,1.8413295497115676,2.2584051416334807e-16,1.8413295497115676,1.8413295497115676,3.2957368267290508,4.516810283266961e-16,3.2957368267290508,3.2957368267290508,-0.19039895337242357,5.646012854083702e-17,-0.19039895337242357,-0.19039895337242357
sac,30,0.47806083897000046,5.646012854083702e-17,0.47806083897000046,0.47806083897000046,1.833524191396063,6.775215424900442e-16,1.833524191396063,1.833524191396063,3.235139438518426,1.3550430849800884e-15,3.235139438518426,3.235139438518426,-0.18827502410630065,5.646012854083702e-17,-0.18827502410630065,-0.18827502410630065
