repeat,model,cumulative_return,annualized_return,sharpe,calmar,max_drawdown
0,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
0,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
0,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
1,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
1,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
1,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
2,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
2,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
2,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
3,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
3,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
3,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
4,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
4,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
4,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
5,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
5,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
5,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
6,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
6,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
6,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
7,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
7,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
7,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
8,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
8,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
8,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
9,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
9,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
9,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
10,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
10,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
10,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
11,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
11,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
11,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
12,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
12,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
12,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
13,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
13,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
13,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
14,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
14,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
14,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
15,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
15,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
15,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
16,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
16,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
16,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
17,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
17,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
17,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
18,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
18,ppo,0.4919368881699995,0.6275048424001635,1.8413295497115678,3.2957368267290503,-0.19039895337242352
18,sac,0.4780608389700005,0.6090959557743001,1.8335241913960623,3.2351394385184244,-0.1882750241063006
19,a2c,0.28732643016000026,0.35998479340248646,1.2204170962565464,1.3701414349549377,-0.26273549884601943
