pair,classifier_group,selected_global_tau,ensemble_cumulative_return_mean,ensemble_sharpe_mean,ensemble_sharpe_sd,ensemble_calmar_mean,ensemble_max_drawdown_mean,stronger_model,stronger_sharpe,simple_average_sharpe,delta_sharpe_vs_average,delta_sharpe_mean,delta_sharpe_sd,delta_sharpe_ci_low,delta_sharpe_ci_high,win_rate_vs_stronger
arima_lstm,1,0.3,0.5868178508939998,1.7175189270125837,0.009480718522931851,3.8383194457140033,-0.1990568418165205,lstm,1.7657022236836781,1.702461091758215,0.015057835254368657,-0.04818329667109437,0.009480718522931851,-0.05172345514843331,-0.04464313819375543,0.0
arima_lstm,2,0.29,0.6282209289700004,1.8577501064059825,4.516810283266961e-16,4.08032336224576,-0.2011505017177468,lstm,1.7657022236836781,1.702461091758215,0.15528901464776745,0.09204788272230484,4.2345096405627763e-17,0.09204788272230484,0.09204788272230484,1.0
arima_lstm,3,0.36,0.533656728879998,1.6269331741089212,0.0002518112263156208,3.3572086682103643,-0.2060184763512517,lstm,1.7657022236836781,1.702461091758215,-0.07552791764929379,-0.13876904957475653,0.00025181122631562087,-0.13886307743196735,-0.1386750217175457,0.0
arima_lstm,4,0.3,0.618611467732,1.8209957144966518,0.009876431534078476,4.062240871004018,-0.19883049372350275,lstm,1.7657022236836781,1.702461091758215,0.11853462273843673,0.055293490812973974,0.009876431534078476,0.05160557066887786,0.05898141095707009,1.0
arima_lstm,5,0.31,0.5873220914056668,1.7305929236926285,0.008381297903733202,3.882841866976368,-0.19696261909244497,lstm,1.7657022236836781,1.702461091758215,0.028131831934413487,-0.03510929999104988,0.008381297903733204,-0.038238928062301655,-0.0319796719197981,0.0
arima_xgboost,1,0.43,0.48741673369633226,1.6230945183761194,0.00919262843300604,3.0337170080189493,-0.20739256692781696,xgboost,1.6371232007535361,1.6435635639898005,-0.020469045613681125,-0.014028682377416694,0.00919262843300604,-0.017461266247238146,-0.010596098507595244,0.0
arima_xgboost,2,0.19,0.5125385916599994,1.675399032002548,0.002418620220923586,3.2526801354478705,-0.20384984504711454,xgboost,1.6371232007535361,1.6435635639898005,0.0318354680127475,0.03827583124901152,0.002418620220923586,0.03737270361603143,0.03917895888199162,1.0
arima_xgboost,3,0.3,0.5008091399056666,1.6356002986163323,0.011858008235893768,3.271935580353712,-0.19788851615280284,xgboost,1.6371232007535361,1.6435635639898005,-0.007963265373468253,-0.001522902137203741,0.011858008235893768,-0.005950755182214565,0.002904950907807083,0.4666666666666667
arima_xgboost,4,0.3,0.48548976220499973,1.629148365137389,0.0020164664302966687,3.0595603959976616,-0.20479230952956823,xgboost,1.6371232007535361,1.6435635639898005,-0.014415198852411493,-0.007974835616146899,0.0020164664302966687,-0.008727796555786375,-0.0072218746765074235,0.0
arima_xgboost,5,0.29,0.49686911567699954,1.6240231098690652,0.009949372106628902,3.1566051535429853,-0.20335716883812155,xgboost,1.6371232007535361,1.6435635639898005,-0.01954045412073535,-0.013100090884470979,0.009949372106628902,-0.016815247485976074,-0.009384934282965883,0.06666666666666667
xgboost_lstm,1,0.52,0.6306021129210002,1.8803460775649015,0.018582475843772338,4.330709654088678,-0.19030148858170334,lstm,1.7657022236836781,1.718489744623361,0.16185633294154056,0.11464385388122326,0.018582475843772338,0.10770504336499953,0.121582664397447,1.0
xgboost_lstm,2,0.33,0.62395387696,1.8441857271302378,0.0,3.850016192469131,-0.21166021028457002,lstm,1.7657022236836781,1.718489744623361,0.12569598250687686,0.07848350344655962,1.4115032135209254e-17,0.07848350344655962,0.07848350344655962,1.0
xgboost_lstm,3,0.3,0.4871547943080002,1.6245894780881314,0.009557905952894822,3.0116212872675145,-0.2087968801567698,lstm,1.7657022236836781,1.718489744623361,-0.09390026653522954,-0.1411127455955464,0.009557905952894822,-0.1446817263329141,-0.1375437648581787,0.0
xgboost_lstm,4,0.33,0.597700308114001,1.8031133492269562,0.025724331703960407,3.7482278368109667,-0.20780705472862218,lstm,1.7657022236836781,1.718489744623361,0.0846236046035953,0.037411125543278266,0.02572433170396041,0.027805502221018498,0.047016748865538034,0.9
xgboost_lstm,5,0.55,0.5713392494266666,1.7671372254022009,0.01998598125340719,3.6584012167205073,-0.20306766895153977,lstm,1.7657022236836781,1.718489744623361,0.04864748077883996,0.00143500171852274,0.01998598125340719,-0.006027886330631846,0.008897889767677325,0.8333333333333334
