model,segment,mae,rmse,directional_accuracy
arima,calibration,0.025270053153171185,0.034767305230289744,0.5108870967741935
arima,trade,0.02769576529652894,0.037642420666395116,0.49238911290322585
lstm,calibration,0.025219090226851464,0.03472055025889097,0.5229838709677419
lstm,trade,0.027671199188749426,0.03762214289546145,0.4967237903225806
xgboost,calibration,0.026916383257167803,0.03694462065219604,0.48830645161290326
xgboost,trade,0.029718097575115395,0.04131662941281215,0.4818548387096774
