pair,tau,classifier_groups,sharpe_across_groups_mean,sharpe_across_groups_min,sharpe_across_groups_max,min_delta_vs_stronger,min_delta_vs_simple_average,groups_beating_stronger,groups_beating_simple_average
arima_lstm,0.32,5,1.6995655373442902,1.6080063263301083,1.7775917715788843,-0.1576958973535698,-0.09445476542810671,1,2
arima_xgboost,0.3,5,1.6208694389161569,1.603567298616312,1.6356002986163323,-0.033555902137224036,-0.03999626537348844,0,0
xgboost_lstm,0.56,5,1.759828053101474,1.6199383803537275,1.8435535852495648,-0.14576384332995063,-0.0985513642696334,4,4
