window,model,segment,observations,mae,rmse,directional_accuracy
1,arima,calibration,620,0.018778456556997915,0.025966777646213263,0.5080645161290323
1,arima,trade,620,0.021528046307151757,0.02983543236826935,0.5080645161290323
1,xgboost,calibration,620,0.02011538552675814,0.02732259758149375,0.4935483870967742
1,xgboost,trade,620,0.02298883050481718,0.031271589847856565,0.4483870967741935
1,lstm,calibration,620,0.018827077974932955,0.026099396415897695,0.5048387096774194
1,lstm,trade,620,0.021638726054627952,0.02988618935725106,0.49838709677419357
2,arima,calibration,620,0.021555744031757047,0.02983382239759842,0.5096774193548387
2,arima,trade,620,0.02932078642799112,0.0391320507423088,0.49838709677419357
2,xgboost,calibration,620,0.02275604518185416,0.03127896805277902,0.4645161290322581
2,xgboost,trade,620,0.030643932466903143,0.04144288774226451,0.4967741935483871
2,lstm,calibration,620,0.02155690019233885,0.02981923679197646,0.5161290322580645
2,lstm,trade,620,0.029082720699538486,0.03892509286451712,0.5467741935483871
3,arima,calibration,620,0.029344671485876182,0.03913109827819337,0.4935483870967742
3,arima,trade,620,0.03143685803206205,0.04415239723765167,0.5193548387096775
3,xgboost,calibration,620,0.030815166820793348,0.041239709530476364,0.5193548387096775
3,xgboost,trade,620,0.03407659506248391,0.050430637533570986,0.482258064516129
3,lstm,calibration,620,0.029168360112705793,0.038946269664655246,0.5193548387096775
3,lstm,trade,620,0.03132878646838161,0.04404691587851666,0.535483870967742
4,arima,calibration,620,0.031401340538053595,0.044137522599153926,0.532258064516129
4,arima,trade,160,0.028497370418910827,0.03744980231735064,0.44375
4,xgboost,calibration,620,0.03397893549926556,0.04793720744403501,0.47580645161290325
4,xgboost,trade,160,0.031163032266257346,0.04212140252755654,0.5
4,lstm,calibration,620,0.031324022627428255,0.04401729816303447,0.5516129032258065
4,lstm,trade,160,0.028634563532449663,0.03763037348156099,0.40625
