pair,tau,classifier_groups,sharpe_across_groups_mean,sharpe_across_groups_min,sharpe_across_groups_max,min_delta_vs_stronger,min_delta_vs_simple_average,groups_beating_stronger,groups_beating_simple_average
arima_lstm,0.01,5,1.700875718887433,1.6013896427221428,1.8037098309192794,-0.16431258096153534,-0.10107144903607224,1,2
arima_lstm,0.02,5,1.700875718887433,1.6013896427221428,1.8037098309192794,-0.16431258096153534,-0.10107144903607224,1,2
arima_lstm,0.03,5,1.700875718887433,1.6013896427221428,1.8037098309192794,-0.16431258096153534,-0.10107144903607224,1,2
arima_lstm,0.04,5,1.700875718887433,1.6013896427221428,1.8037098309192794,-0.16431258096153534,-0.10107144903607224,1,2
arima_lstm,0.05,5,1.700875718887433,1.6013896427221428,1.8037098309192794,-0.16431258096153534,-0.10107144903607224,1,2
arima_lstm,0.06,5,1.700875718887433,1.6013896427221428,1.8037098309192794,-0.16431258096153534,-0.10107144903607224,1,2
arima_lstm,0.07,5,1.700875718887433,1.6013896427221428,1.8037098309192794,-0.16431258096153534,-0.10107144903607224,1,2
arima_lstm,0.08,5,1.700875718887433,1.6013896427221428,1.8037098309192794,-0.16431258096153534,-0.10107144903607224,1,2
arima_lstm,0.09,5,1.700875718887433,1.6013896427221428,1.8037098309192794,-0.16431258096153534,-0.10107144903607224,1,2
arima_lstm,0.1,5,1.7009936435767603,1.6015143700900543,1.8038204956579567,-0.16418785359362387,-0.10094672166816077,1,2
arima_lstm,0.11,5,1.7009936435767603,1.6015143700900543,1.8038204956579567,-0.16418785359362387,-0.10094672166816077,1,2
arima_lstm,0.12,5,1.7009936435767603,1.6015143700900543,1.8038204956579567,-0.16418785359362387,-0.10094672166816077,1,2
arima_lstm,0.13,5,1.7009936435767603,1.6015143700900543,1.8038204956579567,-0.16418785359362387,-0.10094672166816077,1,2
arima_lstm,0.14,5,1.7009936435767603,1.6015143700900543,1.8038204956579567,-0.16418785359362387,-0.10094672166816077,1,2
arima_lstm,0.15,5,1.7009936435767603,1.6015143700900543,1.8038204956579567,-0.16418785359362387,-0.10094672166816077,1,2
