window,train_start,train_end,calibration_start,calibration_end,calibration_source,trade_start,trade_end,train_dates,calibration_dates,trade_dates
1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail,2019-11-01,2020-02-04,757,63,63
2,2016-06-01,2019-10-31,2019-11-01,2020-02-04,previous_trade,2020-02-05,2020-05-07,820,63,63
3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade,2020-05-08,2020-08-06,883,63,63
4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade,2020-08-07,2020-08-31,946,63,17
