window,pair,segment,mean_holding_l1,mean_dispersion,identical_holding_rate
1,arima_xgboost,calibration,3283.5,0.3160019077130755,0.016129032258064516
1,arima_xgboost,trade,3863.6451612903224,0.30899717423578615,0.03225806451612903
1,arima_lstm,calibration,2448.1935483870966,0.23621739918909332,0.016129032258064516
1,arima_lstm,trade,2811.6451612903224,0.3005295432733958,0.03225806451612903
1,xgboost_lstm,calibration,4411.5,0.32258685651459734,0.016129032258064516
1,xgboost_lstm,trade,4543.387096774193,0.30226810489819406,0.03225806451612903
2,arima_xgboost,calibration,2986.7580645161293,0.34792201275598567,0.0
2,arima_xgboost,trade,10143.274193548386,0.26249086958938206,0.0
2,arima_lstm,calibration,2444.016129032258,0.2803179300595114,0.03225806451612903
2,arima_lstm,trade,12732.322580645161,0.3119347331871814,0.0
2,xgboost_lstm,calibration,3675.451612903226,0.3303042124348554,0.0
2,xgboost_lstm,trade,16086.435483870968,0.44315692312093585,0.0
3,arima_xgboost,calibration,3778.8387096774195,0.3501634421611942,0.0
3,arima_xgboost,trade,16090.177419354839,0.28595763772668903,0.0
3,arima_lstm,calibration,3325.467741935484,0.3090775565809942,0.03225806451612903
3,arima_lstm,trade,19386.322580645163,0.3589598438909448,0.0
3,xgboost_lstm,calibration,5396.403225806452,0.38531937209285017,0.0
3,xgboost_lstm,trade,19249.790322580644,0.311319115437225,0.0
4,arima_xgboost,calibration,5975.0161290322585,0.3592104147276702,0.03225806451612903
4,arima_xgboost,trade,14513.75,0.2911917978685316,0.0
4,arima_lstm,calibration,5805.387096774193,0.33602438292086445,0.04838709677419355
4,arima_lstm,trade,15293.25,0.3143816413657418,0.0
4,xgboost_lstm,calibration,4594.822580645161,0.3777216692179984,0.03225806451612903
4,xgboost_lstm,trade,15085.625,0.31375366637739416,0.0
