period,pair,repeat,classifier_group,window,block_id,trade_start,trade_end,feedback_end,fallback_model,status,selected_tau,threshold_quantile,raw_threshold,history_blocks,history_days,informative_days,cdf_days,low_mode_advantage,high_mode_advantage,policy_advantage_mean,policy_advantage_lcb,fit_start_date,fit_end_date,history_blocks_before,history_days_before,history_end_before,history_blocks_after,history_days_after,history_end_after,block_decision_days,block_informative_days,outcomes_added_only_after_block
2020,a2c_ppo,0,5,2,2020-window-2,2020-04-02,2020-07-01,2020-07-01,ppo,fallback_no_mode_crossover,,,,5,310,294.0,252.0,0.0002964928353958,1.652705155201793e-05,,,2019-01-02,2020-04-01,5,310,2020-04-01,6,372,2020-07-01,62,37,True
2020,a2c_ppo,0,5,3,2020-window-3,2020-07-02,2020-09-30,2020-09-30,a2c,fallback_nonpositive_policy_lcb,,0.455,0.2507985942105979,6,372,331.0,252.0,1.939410620055616e-05,-3.743322464041581e-05,-9.578441270726908e-05,-0.0001513390536798,2019-01-02,2020-07-01,6,372,2020-07-01,7,434,2020-09-30,62,37,True
2020,a2c_ppo,0,5,4,2020-window-4,2020-10-01,2020-12-31,2020-12-31,a2c,fallback_nonpositive_policy_lcb,,0.585,0.2504131209457147,7,434,368.0,252.0,0.000100765854529,-3.743322464041581e-05,-7.843039710626322e-05,-0.0001348860276907,2019-01-02,2020-09-30,7,434,2020-09-30,8,497,2020-12-31,63,47,True
2019,a2c_ppo,1,2,1,2019-window-1,2019-01-02,2019-04-02,2019-04-02,ppo,warmup_collection,,,,0,0,,,,,,,,,0,0,,1,62,2019-04-02,62,62,True
2019,a2c_ppo,1,2,2,2019-window-2,2019-04-03,2019-07-02,2019-07-02,a2c,warmup_collection,,,,1,62,,,,,,,,2019-04-02,1,62,2019-04-02,2,124,2019-07-02,62,62,True
2019,a2c_ppo,1,2,3,2019-window-3,2019-07-03,2019-10-01,2019-10-01,ppo,warmup_collection,,,,2,124,,,,,,,,2019-07-02,2,124,2019-07-02,3,186,2019-10-01,62,62,True
2019,a2c_ppo,1,2,4,2019-window-4,2019-10-02,2019-12-31,2019-12-31,a2c,warmup_collection,,,,3,186,,,,,,,,2019-10-01,3,186,2019-10-01,4,248,2019-12-31,62,62,True
2020,a2c_ppo,1,2,1,2020-window-1,2020-01-02,2020-04-01,2020-04-01,a2c,fallback_nonpositive_policy_lcb,,0.655,0.2259911289069933,4,248,248.0,248.0,0.0002964928353958,-5.5612462808093954e-05,-8.160144084524859e-05,-0.0001604716202024,2019-01-02,2019-12-31,4,248,2019-12-31,5,310,2020-04-01,62,62,True
2020,a2c_ppo,1,2,2,2020-window-2,2020-04-02,2020-07-01,2020-07-01,ppo,fallback_nonpositive_policy_lcb,,0.585,0.251693374053838,5,310,310.0,252.0,0.0002964928353958,-6.024786275901387e-06,-8.720085991275621e-05,-0.0001517975694351,2019-01-02,2020-04-01,5,310,2020-04-01,6,372,2020-07-01,62,62,True
2020,a2c_ppo,1,2,3,2020-window-3,2020-07-02,2020-09-30,2020-09-30,a2c,fallback_nonpositive_policy_lcb,,0.855,0.3106171783559912,6,372,372.0,252.0,5.935504512475485e-05,-7.204973625576565e-05,-6.202108340256625e-05,-0.0001668631424561,2019-01-02,2020-07-01,6,372,2020-07-01,7,434,2020-09-30,62,62,True
