model,segment,mae,rmse,directional_accuracy
arima,calibration,0.013191129000573816,0.018901004765042882,0.49410669975186106
arima,trade,0.014355312561471038,0.020635368705948204,0.48885097877033357
lstm,calibration,0.013193689491242305,0.018910985874655825,0.4818548387096774
lstm,trade,0.014319783488635163,0.020615771761987468,0.4848704163220292
xgboost,calibration,0.013838177251083005,0.019539761728137327,0.4880583126550868
xgboost,trade,0.015158547759863153,0.021411555514451633,0.4826992004411359
