pair,tau,classifier_groups,sharpe_across_groups_mean,sharpe_across_groups_min,sharpe_across_groups_max,min_delta_vs_stronger,min_delta_vs_simple_average,groups_beating_stronger,groups_beating_simple_average
arima_lstm,0.01,5,0.9792444865412501,0.9571297288666899,1.0031862512843481,-0.16942156562739352,-0.10569106795809435,0,0
arima_lstm,0.02,5,0.9792444865412501,0.9571297288666899,1.0031862512843481,-0.16942156562739352,-0.10569106795809435,0,0
arima_lstm,0.03,5,0.9792444865412501,0.9571297288666899,1.0031862512843481,-0.16942156562739352,-0.10569106795809435,0,0
arima_lstm,0.04,5,0.9792444865412501,0.9571297288666899,1.0031862512843481,-0.16942156562739352,-0.10569106795809435,0,0
arima_lstm,0.05,5,0.9792444865412501,0.9571297288666899,1.0031862512843481,-0.16942156562739352,-0.10569106795809435,0,0
arima_lstm,0.06,5,0.9798945189637838,0.9548691894773513,1.0008425893693862,-0.1716821050167321,-0.10795160734743292,0,0
arima_lstm,0.07,5,0.9798945189637838,0.9548691894773513,1.0008425893693862,-0.1716821050167321,-0.10795160734743292,0,0
arima_lstm,0.08,5,0.980203131499197,0.9522697139225137,1.0010061612851817,-0.17428158057156973,-0.11055108290227056,0,0
arima_lstm,0.09,5,0.980203131499197,0.9522697139225137,1.0010061612851817,-0.17428158057156973,-0.11055108290227056,0,0
arima_lstm,0.1,5,0.980203131499197,0.9522697139225137,1.0010061612851817,-0.17428158057156973,-0.11055108290227056,0,0
arima_lstm,0.11,5,0.9801867642694704,0.9526533296650652,1.0009878034267763,-0.1738979648290182,-0.11016746715971903,0,0
arima_lstm,0.12,5,0.9801867642694704,0.9526533296650652,1.0009878034267763,-0.1738979648290182,-0.11016746715971903,0,0
arima_lstm,0.13,5,0.9801867642694704,0.9526533296650652,1.0009878034267763,-0.1738979648290182,-0.11016746715971903,0,0
arima_lstm,0.14,5,0.9801867642694704,0.9526533296650652,1.0009878034267763,-0.1738979648290182,-0.11016746715971903,0,0
arima_lstm,0.15,5,0.9807755569869526,0.9551526777536474,1.0013982906665784,-0.171398616740436,-0.10766811907113683,0,0
arima_lstm,0.16,5,0.9868411055796569,0.957990568599353,1.0083443247857926,-0.16856072589473037,-0.1048302282254312,0,0
arima_lstm,0.17,5,0.9888646686581343,0.9603396904399905,1.0148181010348898,-0.16621160405409297,-0.1024811063847938,0,0
arima_lstm,0.18,5,1.011904404936401,0.9931573273337928,1.036747858609361,-0.13339396716029062,-0.06966346949099145,0,0
arima_lstm,0.19,5,1.031818513570962,0.9739669142854483,1.0675579472706116,-0.15258438020863507,-0.0888538825393359,0,1
arima_lstm,0.2,5,1.0418334867374544,0.9473067054354309,1.0852717838077066,-0.17924458905865248,-0.11551409138935331,0,2
arima_lstm,0.21,5,1.0647607151394705,0.9420675298510987,1.1210752565848094,-0.18448376464298477,-0.1207532669736856,0,4
arima_lstm,0.22,5,0.9975142398887697,0.8736622985814729,1.052494703511812,-0.2528889959126105,-0.18915849824331132,0,0
arima_lstm,0.23,5,1.0433078960958486,0.8890551865923353,1.1031007573504337,-0.23749610790174813,-0.17376561023244896,0,4
arima_lstm,0.24,5,1.0066648361407484,0.9361459849391689,1.040362201858175,-0.19040530955491453,-0.12667481188561536,0,0
arima_lstm,0.25,5,1.034807740787402,0.9378308223562386,1.0725408060802375,-0.18872047213784482,-0.12498997446854565,0,2
arima_lstm,0.26,5,0.9859554122323407,0.892642762960436,1.0244387270900395,-0.23390853153364743,-0.17017803386434827,0,0
arima_lstm,0.27,5,0.9568467788321918,0.8647348490434053,1.002102941621873,-0.26181644545067817,-0.198085947781379,0,0
arima_lstm,0.28,5,0.9425046369994929,0.8502203969795159,0.9849214535921401,-0.2763308975145675,-0.21260039984526835,0,0
