pair,classifier_group,selected_global_tau,ensemble_cumulative_return_mean,ensemble_sharpe_mean,ensemble_sharpe_sd,ensemble_calmar_mean,ensemble_max_drawdown_mean,stronger_model,stronger_sharpe,simple_average_sharpe,delta_sharpe_vs_average,delta_sharpe_mean,delta_sharpe_sd,delta_sharpe_ci_low,delta_sharpe_ci_high,win_rate_vs_stronger
arima_lstm,1,0.38,0.1750084016096684,1.1238171008612643,0.005433730152297953,1.4464274911902082,-0.14998123013835366,lstm,1.1265512944940834,1.0628207968247843,0.06099630403648004,-0.0027341936328188006,0.005433730152297953,-0.004763181817174381,-0.0007052054484632201,0.3
arima_lstm,2,0.21,0.17959645223300102,1.1210752565848094,0.0009808617399790448,1.428481177050766,-0.15591517663490043,lstm,1.1265512944940834,1.0628207968247843,0.05825445976002519,-0.005476037909273786,0.0009808617399790446,-0.005842297702293189,-0.0051097781162543834,0.0
arima_lstm,3,0.17,0.15606222351500065,1.0148181010348898,0.015217138989561847,1.3131142832009377,-0.1470470859124715,lstm,1.1265512944940834,1.0628207968247843,-0.04800269578989447,-0.11173319345919384,0.015217138989561847,-0.11741536654179718,-0.1060510203765905,0.0
arima_lstm,4,0.21,0.17250787961800143,1.0894687196496793,0.012633585385643237,1.3672031814455383,-0.1563672966833511,lstm,1.1265512944940834,1.0628207968247843,0.02664792282489503,-0.03708257484440412,0.01263358538564324,-0.041800033156660754,-0.03236511653214749,0.0
arima_lstm,5,0.21,0.17302837749733443,1.0917319953367794,0.014422695512673962,1.3718032556142556,-0.15632202392511033,lstm,1.1265512944940834,1.0628207968247843,0.028911198511995195,-0.034819299157303876,0.014422695512673958,-0.04020482217032984,-0.02943377614427791,0.0
arima_xgboost,1,0.29,0.13311732021133352,0.955145368116019,0.04945946121274503,1.2173809231435482,-0.13503160244175358,arima,0.9094269318719708,0.9114153971587825,0.04372997095723652,0.045718436244048095,0.04945946121274503,0.02724996990645989,0.0641869025816363,0.8333333333333334
arima_xgboost,2,0.28,0.13346896965000193,0.9703179081863781,2.2584051416334807e-16,1.1829718305951435,-0.1392794547873164,arima,0.9094269318719708,0.9114153971587825,0.05890251102759558,0.06089097631440756,2.1172548202813882e-17,0.06089097631440756,0.06089097631440756,1.0
arima_xgboost,3,0.23,0.13640212600000087,0.9272391449889035,0.0314270092896825,1.1617653006598223,-0.1450997945405243,arima,0.9094269318719708,0.9114153971587825,0.01582374783012097,0.017812213116932565,0.0314270092896825,0.006077174988211304,0.029547251245653827,0.5333333333333333
arima_xgboost,4,0.27,0.12735323617433536,0.9353207050373545,0.005653661725446029,1.118624360875405,-0.14045753381205842,arima,0.9094269318719708,0.9114153971587825,0.023905307878572035,0.02589377316538363,0.005653661725446029,0.023782661181947693,0.028004885148819565,1.0
arima_xgboost,5,0.27,0.13097116045133542,0.9509632822750339,0.027934643734646825,1.1529624540435566,-0.14020073739125666,arima,0.9094269318719708,0.9114153971587825,0.0395478851162514,0.04153635040306309,0.02793464373464682,0.03110538300439476,0.051967317801731416,1.0
xgboost_lstm,1,0.18,0.1695288108386674,1.1219067682798738,0.07022715749266167,1.4801478701529163,-0.14241693529315794,lstm,1.1265512944940834,1.0225593589890565,0.09934740929081731,-0.0046445262142097024,0.07022715749266166,-0.030867777789047143,0.02157872536062774,0.43333333333333335
xgboost_lstm,2,0.18,0.18888333869333396,1.2336699443622612,0.002053112937118314,1.5216175967915786,-0.15408019617728697,lstm,1.1265512944940834,1.0225593589890565,0.2111105853732047,0.10711864986817797,0.0020531129371183145,0.10635200489800055,0.10788529483835539,1.0
xgboost_lstm,3,0.2,0.12986281541500203,0.936419810439024,0.08112087632650641,1.0924517739594426,-0.14670876709349123,lstm,1.1265512944940834,1.0225593589890565,-0.08613954855003247,-0.19013148405505922,0.08112087632650641,-0.22042251709457159,-0.15984045101554686,0.0
xgboost_lstm,4,0.18,0.18152062877500136,1.1901941556807956,0.01252738207685504,1.446978933135705,-0.1556268079257578,lstm,1.1265512944940834,1.0225593589890565,0.16763479669173909,0.06364286118671231,0.01252738207685504,0.0589650598417012,0.0683206625317234,1.0
xgboost_lstm,5,0.18,0.1796171664853349,1.1907956393096477,0.0074017894969190924,1.4598952117317998,-0.1525878118921499,lstm,1.1265512944940834,1.0225593589890565,0.16823628032059124,0.06424434481556433,0.007401789496919091,0.0614804711944231,0.06700821843670557,1.0
