window,pair,segment,samples,mean_holding_l1,mean_dispersion,identical_holding_rate
1,td3_tqc,calibration,62,10063.629032258064,0.27710671989156194,0.0
1,td3_tqc,trade,62,9429.016129032258,0.28171928253017187,0.0
2,td3_tqc,calibration,62,7514.8387096774195,0.2569845216750105,0.0
2,td3_tqc,trade,62,10319.709677419354,0.22696309500200074,0.0
3,td3_tqc,calibration,62,10992.693548387097,0.3505278349384233,0.0
3,td3_tqc,trade,62,11412.193548387097,0.19448484625423298,0.0
4,td3_tqc,calibration,62,9341.870967741936,0.25436785102440945,0.0
4,td3_tqc,trade,63,11659.63492063492,0.1924635598724832,0.0
