model,model_tag,timesteps,is_best,best_step_so_far,validation_samples,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,window,train_start,train_end,calibration_start,calibration_end,calibration_source
td3,rolling_w3_100000_seed42,100000,False,20000,62,0.1213658269763753,0.5929376332303204,1.724475748457704,5.574449333916373,-0.1063670324569525,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade
tqc,rolling_w3_100000_seed42,20000,True,20000,62,0.1406697113635753,0.7073689336233149,1.6617619873157927,5.757972432290962,-0.1228503508728799,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade
tqc,rolling_w3_100000_seed42,40000,False,20000,62,0.1051939116812401,0.5016074628518148,1.4232098913195472,4.597335143059571,-0.1091083088882639,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade
tqc,rolling_w3_100000_seed42,60000,False,20000,62,0.0542352579584464,0.2394527857922272,0.924967839443,2.6012652563643157,-0.0920524291809059,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade
tqc,rolling_w3_100000_seed42,80000,False,20000,62,0.0756339056690977,0.3449334761096378,1.2313127363973535,4.010522291420698,-0.0860071210294776,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade
tqc,rolling_w3_100000_seed42,100000,False,20000,62,0.0746234232703859,0.3398054676361828,1.1951966984892402,3.687629845201273,-0.0921473905734798,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade
td3,rolling_w4_100000_seed42,20000,True,20000,62,0.0828768168742333,0.3821243907134533,2.1474742987162614,5.4707086736985095,-0.069849157303987,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade
td3,rolling_w4_100000_seed42,40000,False,20000,62,0.0828768168742333,0.3821243907134533,2.1474742987162614,5.4707086736985095,-0.069849157303987,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade
td3,rolling_w4_100000_seed42,60000,False,20000,62,0.0828768168742333,0.3821243907134533,2.1474742987162614,5.4707086736985095,-0.069849157303987,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade
td3,rolling_w4_100000_seed42,80000,False,20000,62,0.0828768168742333,0.3821243907134533,2.1474742987162614,5.4707086736985095,-0.069849157303987,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade
td3,rolling_w4_100000_seed42,100000,False,20000,62,0.0828768168742333,0.3821243907134533,2.1474742987162614,5.4707086736985095,-0.069849157303987,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade
tqc,rolling_w4_100000_seed42,20000,True,20000,62,0.0329501505167615,0.1408427821756432,0.7367271205211545,1.2354802353856018,-0.1139984098019061,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade
tqc,rolling_w4_100000_seed42,40000,True,40000,62,0.0857752542069587,0.3972224671905631,1.5275069924006297,3.049170567977135,-0.1302723013800065,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade
tqc,rolling_w4_100000_seed42,60000,False,40000,62,0.0325677274005549,0.1391270359589915,0.8351845000900887,1.3627771500523918,-0.1020908194370905,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade
tqc,rolling_w4_100000_seed42,80000,True,80000,62,0.098481750633858,0.4648838181923349,1.7508294279321708,4.107363806640619,-0.1131830147212014,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade
tqc,rolling_w4_100000_seed42,100000,False,80000,62,0.0410046998991697,0.1774344569388184,1.0190150634037003,2.005991741689184,-0.0884522369914675,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade
