pair,classifier_group,selected_global_tau,ensemble_cumulative_return_mean,ensemble_sharpe_mean,ensemble_sharpe_sd,ensemble_calmar_mean,ensemble_max_drawdown_mean,stronger_model,stronger_sharpe,simple_average_sharpe,delta_sharpe_vs_average,delta_sharpe_mean,delta_sharpe_sd,delta_sharpe_ci_low,delta_sharpe_ci_high,win_rate_vs_stronger
td3_tqc,1,0.2,0.17956212033462662,0.6007822532967549,0.057778328119765375,0.46861021884615456,-0.3831801209473351,tqc,0.5760782879046927,0.45798406131522246,0.14279819198153249,0.02470396539206228,0.057778328119765375,0.0031291831005188023,0.04627874768360576,0.23333333333333334
td3_tqc,2,0.63,0.165803129758542,0.5766466986240615,0.001334931794370873,0.43870405533791657,-0.3779384478924645,tqc,0.5760782879046927,0.45798406131522246,0.11866263730883903,0.000568410719368769,0.001334931794370873,6.993899519718309e-05,0.001066882443540355,0.7666666666666667
td3_tqc,3,0.01,0.07992107571876443,0.37998786186726274,0.24363368358464618,0.21321950865920775,-0.3748300341808951,tqc,0.5760782879046927,0.45798406131522246,-0.07799619944795971,-0.19609042603743007,0.24363368358464615,-0.2870647386089181,-0.10511611346594205,0.3
td3_tqc,4,0.63,0.152064619514604,0.557478275148098,0.006174813989436854,0.4054819753169926,-0.37499771339566296,tqc,0.5760782879046927,0.45798406131522246,0.09949421383287554,-0.018600012756594713,0.006174813989436854,-0.0209057261935902,-0.016294299319599227,0.0
td3_tqc,5,0.2,0.15557416090545845,0.5676528017098722,0.0816763653855984,0.415977295724832,-0.373968438557526,tqc,0.5760782879046927,0.45798406131522246,0.10966874039464974,-0.008425486194820527,0.0816763653855984,-0.03892394225789982,0.02207296986825877,0.26666666666666666
