pair_label,classifier_group,1,2,3,4
A2C+PPO,1,0.6790322580645162,0.13548387096774192,0.3021505376344086,0.5111111111111111
A2C+PPO,2,0.6731182795698925,0.6096774193548387,1.0,0.3492063492063492
A2C+PPO,3,1.0,0.128494623655914,0.9962365591397849,0.9296296296296297
A2C+PPO,4,0.5967741935483871,0.7725806451612903,0.3102150537634409,0.34973544973544973
A2C+PPO,5,0.6510752688172042,0.8279569892473119,0.9661290322580646,0.36031746031746026
A2C+SAC,1,1.0,0.1032258064516129,0.7112903225806452,0.1021164021164021
A2C+SAC,2,1.0,0.0,1.0,0.0
A2C+SAC,3,1.0,1.0,0.9075268817204302,0.9597883597883599
A2C+SAC,4,1.0,0.03333333333333333,0.9677419354838709,0.03333333333333333
A2C+SAC,5,1.0,0.8,0.8639784946236558,0.6417989417989418
PPO+SAC,1,0.2532258064516129,0.15,0.4666666666666667,0.23703703703703702
PPO+SAC,2,0.0,0.0,0.0,0.2222222222222222
PPO+SAC,3,0.0,0.0,0.9096774193548387,0.001058201058201058
PPO+SAC,4,0.0,0.0,0.0,0.5121693121693122
PPO+SAC,5,0.0,0.08172043010752689,0.16666666666666666,0.16455026455026456
