classifier_group,configurations,configs_beating_stronger,mean_delta_sharpe_vs_stronger,mean_active_day_rate,mean_selected_block_rate,mean_branch_divergence,mean_block_winner_exposure,mean_log_advantage_vs_fallback,mean_log_advantage_vs_stronger,mean_mode_hit_rate,mean_vote_margin,mean_positive_refit_rate,group_label
1,3,1,-0.061787576540965734,0.7196340919232486,0.7194444444444444,1.0,0.5350736278447121,0.012201000013691865,-0.00952180677449307,0.5599270928488999,0.3888665774207943,0.3,G1 SVM
2,3,2,0.022201618449721527,0.8340026773761714,0.8333333333333334,1.0,0.7336903168228469,0.020427735339612074,0.015926353137400165,0.5645989782063489,0.6098467945857503,0.6666666666666666,G2 Logistic
3,3,0,-0.18490167599936855,0.1419901829540384,0.14166666666666666,0.3455153949129852,0.35158411423471664,0.001313038182575407,-0.05184518357346696,0.7743400621826813,1.0,0.022222222222222223,G3 Trees
4,3,2,0.09448517525506994,0.8256581883087907,0.8250000000000001,1.0,0.7124497991967872,0.024113756198523035,0.03550628662384486,0.5757821130239811,0.4468030853573022,0.6555555555555556,G4 SVM+Logistic
5,3,2,-0.06847743079457701,0.5894689870593485,0.5888888888888889,0.7586345381526104,0.6061579651941097,0.015108575028581053,-0.01656801801338314,0.6436284776081306,0.3507461946551638,0.26666666666666666,G5 All
