pair,classifier_group,active_day_rate,actual_volatility,block_winner_exposure_rate,daily_loss_vs_stronger_rate,daily_win_vs_stronger_rate,log_advantage_vs_fallback,log_advantage_vs_stronger,mean_actual_return,mean_return_delta_vs_stronger,path_transition_drag,run_beats_causal,run_beats_stronger,stronger_exposure_rate,stronger_mean_return,stronger_volatility,volatility_delta_vs_stronger,w1_log_adv_vs_fallback,w1_log_adv_vs_stronger,w1_weaker_exposure,w1_winner_exposure,w2_log_adv_vs_fallback,w2_log_adv_vs_stronger,w2_weaker_exposure,w2_winner_exposure,w3_log_adv_vs_fallback,w3_log_adv_vs_stronger,w3_weaker_exposure,w3_winner_exposure,w4_log_adv_vs_fallback,w4_log_adv_vs_stronger,w4_weaker_exposure,w4_winner_exposure,weaker_exposure_rate,sharpe,delta_sharpe_vs_causal_single,delta_sharpe_vs_stronger,success_vs_causal,success_vs_stronger,branch_divergence_rate,ensemble_mode_hit_rate,mean_vote_margin,selected_block_win_rate,pair_label,group_label,selected_block_rate
a2c_ppo,1,0.9330655957161981,0.022167665871196274,0.31258366800535475,0.49718875502008036,0.5028112449799197,0.005777220075725978,-0.08530197774548079,0.00028921938097565435,-0.0002503196440549808,0.01588480259439511,0.9666666666666667,0.0,0.5926372155287818,0.0005395390250306351,0.017493855834503604,0.004673810036692669,0.003084049969186145,-0.1025185621857068,0.6790322580645162,0.3209677419354839,0.0007985961693704376,0.029879928361044996,0.13548387096774192,0.13548387096774192,-0.00414112815944009,0.022377226104047118,0.3021505376344086,0.3021505376344086,0.006035702096609485,-0.03504057002486609,0.5111111111111111,0.4888888888888889,0.40736278447121826,0.3266328105974635,0.0762523152814518,-0.2610872488409915,True,False,1.0,0.5555803860603705,0.2632530120481928,0.65,A2C+PPO,G1 SVM,0.9333333333333333
a2c_ppo,2,1.0,0.021950967439189912,0.6468540829986613,0.5226238286479251,0.477376171352075,0.012758479761796436,-0.12369851108122541,0.00012977446902922733,-0.00040976455600140785,0.026911715489257526,0.06666666666666667,0.0,0.343239625167336,0.0005395390250306351,0.017493855834503604,0.004457111604686309,0.0038742944421079634,-0.10792932323095582,0.6731182795698925,0.32688172043010755,0.001618298960845767,-0.032064332814265975,0.6096774193548387,0.6096774193548387,0.0,0.05274323634781279,1.0,1.0,0.007265886358842706,-0.0364480913838164,0.3492063492063492,0.6507936507936508,0.656760374832664,0.1943562629082131,-0.0560242324077984,-0.3933637965302419,False,False,1.0,0.5601070950468541,0.5289602855867914,0.75,A2C+PPO,G2 Logistic,1.0
a2c_ppo,3,0.15876840696117805,0.022686636880688373,0.2978580990629183,0.5163319946452476,0.4836680053547523,0.0029425685041546182,-0.10136297819787264,0.00023610644557413876,-0.0003034325794564963,0.00632581178783159,0.1,0.0,0.2357429718875502,0.0005395390250306351,0.017493855834503604,0.005192781046184767,0.0,-0.09274798913156847,1.0,0.0,0.0018722786508005055,0.011772326072880921,0.128494623655914,0.128494623655914,0.00012049561373821803,0.05109811475906286,0.9962365591397849,0.9962365591397849,0.0009497942396158946,-0.07148542989824797,0.9296296296296297,0.07037037037037037,0.7642570281124498,0.2598037996255258,0.0094233043095142,-0.3279162598129292,True,False,0.4666666666666667,0.7389582490900705,1.0,0.3020833333333333,A2C+PPO,G3 Trees,0.15833333333333333
a2c_ppo,4,1.0,0.021456599569639533,0.5345381526104417,0.5208835341365462,0.4791164658634538,0.018444952727593313,-0.09566383407666361,0.00023200495066877182,-0.0003075340743618633,0.04341373241794833,1.0,0.0,0.4933065595716198,0.0005395390250306351,0.017493855834503604,0.003962743735135928,0.00414607456365855,-0.10000723424819734,0.5967741935483871,0.4032258064516129,0.008679497776146414,-0.013708649373857153,0.7725806451612903,0.7725806451612903,-0.0026864626292535457,0.03630475925055147,0.3102150537634409,0.3102150537634409,0.00830584301704189,-0.018252709705160585,0.34973544973544973,0.6502645502645503,0.5066934404283802,0.2979498701622108,0.0475693748461992,-0.2897701892762442,True,False,1.0,0.5642570281124498,0.3264868999808759,0.8416666666666667,A2C+PPO,G4 SVM+Logistic,1.0
a2c_ppo,5,0.9087014725568943,0.021905816284044092,0.6954484605087016,0.5227576974564927,0.47724230254350736,0.022781606834194005,-0.09049633359445947,0.0002622341143990195,-0.00027730491063161566,-0.0064355553825096055,0.6,0.0,0.3,0.0005395390250306351,0.017493855834503604,0.004411960449540489,0.0020493762623211642,-0.10611414330964772,0.6510752688172042,0.3489247311827957,0.011947124406079803,0.00500245580143634,0.8279569892473119,0.8279569892473119,0.000426234883911013,0.05070024350670591,0.9661290322580646,0.9661290322580646,0.008358871281882025,-0.040084889592954,0.36031746031746026,0.6396825396825396,0.7,0.2905018622083414,0.0401213668923298,-0.2972181972301136,True,False,0.7907630522088352,0.6159991123137828,0.2824036888293916,0.9166666666666666,A2C+PPO,G5 All,0.9083333333333333
a2c_sac,1,0.6925033467202142,0.023621270974708935,0.8765729585006693,0.4779116465863454,0.5220883534136546,0.02489140302901973,0.12206682438042023,0.0007434756423256444,0.0004192153870217656,-0.034065814793242076,0.9,0.9,0.5223560910307898,0.0003242602553038788,0.026393420314108136,-0.002772149339399203,0.0,0.10509890238410172,1.0,1.0,0.008123563411838347,-0.016696423760331345,0.1032258064516129,0.896774193548387,-0.0003972467564117948,0.0776831464731717,0.7112903225806452,0.7112903225806452,0.017165086373593177,-0.044018800716521846,0.1021164021164021,0.8978835978835978,0.4776439089692102,0.5922154039508879,0.3310854822523394,0.3111864128115276,True,True,1.0,0.5805261936911482,0.465194109772423,0.6551724137931034,A2C+SAC,G1 SVM,0.6916666666666667
a2c_sac,2,0.751004016064257,0.023935267723882336,1.0,0.46987951807228917,0.5301204819277109,0.028117934032335014,0.14995586770641867,0.0008626700922872638,0.000538409836983385,-0.04625402547164643,1.0,1.0,0.5020080321285141,0.0003242602553038788,0.026393420314108136,-0.0024581525902258,0.0,0.10509890238410172,1.0,1.0,0.00986175909995251,-0.018359652317198542,0.0,1.0,0.0,0.09991766363544786,1.0,1.0,0.018256174932382505,-0.03670104599593238,0.0,1.0,0.4979919678714859,0.6614666310564086,0.4003367093578602,0.3804376399170484,True,True,1.0,0.5828877005347594,0.6834448906738063,0.6666666666666666,A2C+SAC,G2 Logistic,0.75
a2c_sac,3,0.16653279785809907,0.022102439201396856,0.485140562248996,0.4856760374832664,0.5143239625167335,0.0002085390607666447,-0.0031492784746270674,0.0002057183228337091,-0.00011854193247016967,-0.002231510585052444,0.06666666666666667,0.06666666666666667,0.03319946452476573,0.0003242602553038788,0.026393420314108136,-0.0042909811127112805,0.0,0.10509890238410172,1.0,1.0,0.0,-0.009827744196656336,1.0,0.0,-0.000638005167301026,0.08011183538808639,0.9075268817204302,0.9075268817204302,0.0008465442280676706,-0.17853227205015884,0.9597883597883599,0.04021164021164021,0.9668005354752344,0.2497369263679434,-0.0113929953306048,-0.0312920647714166,False,False,0.211111111111111,0.8639984453944812,1.0,0.125,A2C+SAC,G3 Trees,0.16666666666666666
a2c_sac,4,0.7259705488621151,0.0238680095289137,0.9752342704149933,0.47095046854083,0.5290495314591701,0.027205211402855832,0.14229828129288452,0.0008303725491728314,0.0005061122938689526,-0.044215543792948925,0.9666666666666667,0.9666666666666667,0.49330655957161984,0.0003242602553038788,0.026393420314108136,-0.0025254107851944373,0.0,0.10509890238410172,1.0,1.0,0.009533033796620759,-0.018075255379847135,0.03333333333333333,0.9666666666666667,-7.695208681401108e-05,0.0960692002233122,0.9677419354838709,0.9677419354838709,0.017749129693049086,-0.040794565934682246,0.03333333333333333,0.9666666666666667,0.5066934404283802,0.6413932775740615,0.3802633558755131,0.3603642864347012,True,True,1.0,0.5825189009773188,0.5513100019124114,0.6666666666666666,A2C+SAC,G4 SVM+Logistic,0.725
a2c_sac,5,0.23386880856760375,0.022465517483414705,0.6045515394912985,0.48018741633199463,0.5198125836680053,0.007405935415957369,0.03988753206398623,0.00038689791224691335,6.263765694303459e-05,-0.012238399050422009,0.4666666666666667,0.36666666666666664,0.1742971887550201,0.0003242602553038788,0.026393420314108136,-0.0039279028306934295,0.0,0.10509890238410172,1.0,1.0,0.001972351819990502,-0.011534125820764777,0.8,0.2,-0.0016016182084244704,0.07435530755936234,0.8639784946236558,0.8639784946236558,0.007035201804391338,-0.12803255205871306,0.6417989417989418,0.35820105820105824,0.8257028112449799,0.3717393132684746,0.1106093915699262,0.0907103221291144,True,True,0.8278447121820616,0.6408756253234431,0.389587981555853,0.6428571428571429,A2C+SAC,G5 All,0.23333333333333334
