pair,window,model,cumulative_return,sharpe,mean_daily_return,daily_volatility,block_winner
a2c_ppo,1,a2c,-0.22309289938969445,-1.528946704237835,-0.0034370775411519134,0.035685949231041764,ppo
a2c_ppo,1,ppo,-0.1475890291215124,-1.5812218253093648,-0.002307456602764931,0.023165464456432732,ppo
a2c_ppo,2,a2c,0.16609844002641339,2.44274757861936,0.002624004718251996,0.017052430593288155,a2c
a2c_ppo,2,ppo,0.1521911333566357,2.0142583725812284,0.002475048255355177,0.01950602441779851,a2c
a2c_ppo,3,a2c,0.14409426376201884,2.3428360131131925,0.002289833508384975,0.015515375313559709,a2c
a2c_ppo,3,ppo,0.083723294381707,1.5687260340314768,0.0013947962171623285,0.014114448948392156,a2c
a2c_ppo,4,a2c,-0.040262832348960886,-0.7019344788483075,-0.0005698895920986988,0.012888263912589818,ppo
a2c_ppo,4,ppo,0.03453962824333545,0.8875011452596492,0.0005948757033010875,0.010640390811905001,ppo
a2c_sac,1,a2c,-0.22309289938969445,-1.528946704237835,-0.0034370775411519134,0.035685949231041764,a2c
a2c_sac,1,sac,-0.30060066123195284,-1.9736554337488188,-0.004959822157697464,0.039892847815234174,a2c
a2c_sac,2,a2c,0.16609844002641339,2.44274757861936,0.002624004718251996,0.017052430593288155,sac
a2c_sac,2,sac,0.17761505568568148,1.7197652875810547,0.0030222288087511625,0.027897059758674885,sac
a2c_sac,3,a2c,0.14409426376201884,2.3428360131131925,0.002289833508384975,0.015515375313559709,a2c
a2c_sac,3,sac,0.04446239360906623,0.9058104906469054,0.0007979468432610552,0.013984176128563371,a2c
a2c_sac,4,a2c,-0.040262832348960886,-0.7019344788483075,-0.0005698895920986988,0.012888263912589818,sac
a2c_sac,4,sac,0.15529540237546646,2.5559798872283546,0.002403156935288112,0.014925365361447637,sac
ppo_sac,1,ppo,-0.1475890291215124,-1.5812218253093648,-0.002307456602764931,0.023165464456432732,ppo
ppo_sac,1,sac,-0.30060066123195284,-1.9736554337488188,-0.004959822157697464,0.039892847815234174,ppo
ppo_sac,2,ppo,0.1521911333566357,2.0142583725812284,0.002475048255355177,0.01950602441779851,sac
ppo_sac,2,sac,0.17761505568568148,1.7197652875810547,0.0030222288087511625,0.027897059758674885,sac
ppo_sac,3,ppo,0.083723294381707,1.5687260340314768,0.0013947962171623285,0.014114448948392156,ppo
ppo_sac,3,sac,0.04446239360906623,0.9058104906469054,0.0007979468432610552,0.013984176128563371,ppo
ppo_sac,4,ppo,0.03453962824333545,0.8875011452596492,0.0005948757033010875,0.010640390811905001,sac
ppo_sac,4,sac,0.15529540237546646,2.5559798872283546,0.002403156935288112,0.014925365361447637,sac
