pair,classifier_group,window,active_day_rate,actual_cumulative_return,actual_log_return,actual_volatility,block_winner_exposure_rate,daily_loss_vs_stronger_rate,daily_win_vs_stronger_rate,decision_days,fallback_cumulative_return,fallback_log_return,log_advantage_vs_fallback,log_advantage_vs_stronger,mean_actual_return,path_transition_drag,stronger_cumulative_return,stronger_exposure_rate,stronger_log_return,stronger_volatility,weaker_exposure_rate,pair_label,ideal_weaker_exposure
a2c_ppo,1,1,1.0,-0.23064540881698764,-0.262205070450787,0.03532511748670966,0.3209677419354839,0.5483870967741935,0.45161290322580644,62.0,-0.2330151497988354,-0.26528912041997316,0.003084049969186145,-0.1025185621857068,-0.0036065788439092927,-0.015190661474772658,-0.14758902912151203,0.3209677419354839,-0.1596865082650802,0.023165464456432736,0.6790322580645162,A2C+PPO,0.0
a2c_ppo,1,2,1.0,0.18714304645040866,0.17154539124455684,0.019704383635258442,0.13548387096774192,0.4532258064516129,0.5467741935483871,62.0,0.1861933797454127,0.1707467950751864,0.0007985961693704376,0.029879928361044996,0.0029617096401948267,0.011330458850959327,0.1521911333566357,0.8645161290322582,0.14166546288351184,0.019506024417798515,0.13548387096774192,A2C+PPO,1.0
a2c_ppo,1,3,0.8666666666666667,0.10843095957106051,0.10277983305072237,0.014050269788560261,0.3021505376344086,0.4645161290322581,0.5354838709677419,62.0,0.11300061858246294,0.10692096121016247,-0.00414112815944009,0.022377226104047118,0.0017552811110668849,0.007668055810046247,0.08372329438170678,0.6978494623655913,0.08040260694667527,0.014114448948392155,0.3021505376344086,A2C+PPO,1.0
a2c_ppo,1,4,0.8666666666666667,-0.0009588519279591737,-0.0010840458916401908,0.011682225265735624,0.4888888888888889,0.5222222222222223,0.47777777777777775,63.0,-0.007005020441539948,-0.007119747988249675,0.006035702096609485,-0.03504057002486609,5.0318850906158e-05,0.01207694940816219,0.034539628243335674,0.4888888888888889,0.0339565241332259,0.010640390811905003,0.5111111111111111,A2C+PPO,0.0
a2c_ppo,2,1,1.0,-0.23479644598172894,-0.267615831496036,0.03525207925841947,0.32688172043010755,0.5623655913978495,0.4376344086021505,62.0,-0.23775556497424363,-0.2714901259381441,0.0038742944421079634,-0.10792932323095582,-0.003696016926483592,-0.006845779766266246,-0.14758902912151203,0.32688172043010755,-0.1596865082650802,0.023165464456432736,0.6731182795698925,A2C+PPO,0.0
a2c_ppo,2,2,1.0,0.11584356370786722,0.10960113006924586,0.01748481650654748,0.6096774193548387,0.44193548387096776,0.5580645161290323,62.0,0.1140319149665688,0.10798283110840011,0.001618298960845767,-0.032064332814265975,0.0019193931527326591,0.03411906604361516,0.1521911333566357,0.3903225806451613,0.14166546288351184,0.019506024417798515,0.6096774193548387,A2C+PPO,1.0
a2c_ppo,2,3,1.0,0.14241682656247376,0.13314584329448806,0.016176324137867685,1.0,0.49892473118279573,0.5010752688172043,62.0,0.14241682656247376,0.13314584329448806,0.0,0.05274323634781279,0.0022759130098501884,-0.0014674446619302292,0.08372329438170678,0.0,0.08040260694667527,0.014114448948392155,1.0,A2C+PPO,1.0
a2c_ppo,2,4,1.0,-0.002488100611886853,-0.002491567250590495,0.011135006699138427,0.6507936507936508,0.5862433862433863,0.4137566137566137,63.0,-0.009709948864573563,-0.009757453609433201,0.007265886358842706,-0.0364480913838164,2.155412936704383e-05,0.0011058738738388477,0.034539628243335674,0.6507936507936508,0.0339565241332259,0.010640390811905003,0.3492063492063492,A2C+PPO,0.0
a2c_ppo,3,1,0.13333333333333333,-0.22309289938969343,-0.2524344973966487,0.035685949231041736,0.0,0.5645161290322581,0.43548387096774194,62.0,-0.22309289938969343,-0.2524344973966487,0.0,-0.09274798913156847,-0.003437077541151903,6.8467367192459605e-16,-0.14758902912151203,0.0,-0.1596865082650802,0.023165464456432736,1.0,A2C+PPO,0.0
a2c_ppo,3,2,0.13333333333333333,0.16584312826143827,0.1534377889563928,0.01951371861131908,0.128494623655914,0.4306451612903226,0.5693548387096775,62.0,0.16368395104396075,0.15156551030559226,0.0018722786508005055,0.011772326072880921,0.002665643102577927,0.011015177990456348,0.1521911333566357,0.871505376344086,0.14166546288351184,0.019506024417798515,0.128494623655914,A2C+PPO,1.0
a2c_ppo,3,3,0.1,0.14053949391611492,0.13150072170573812,0.015744517896506823,0.9962365591397849,0.510752688172043,0.489247311827957,62.0,0.14040272147566518,0.13138022609199992,0.00012049561373821803,0.05109811475906286,0.0022430244308032036,-0.0031236215369100707,0.08372329438170678,0.0037634408602150535,0.08040260694667527,0.014114448948392155,0.9962365591397849,A2C+PPO,1.0
a2c_ppo,3,4,0.26666666666666666,-0.036723489191980555,-0.03752890576502207,0.01273988519166399,0.07037037037037037,0.5587301587301587,0.44126984126984126,63.0,-0.03768906022289033,-0.03847870000463796,0.0009497942396158946,-0.07148542989824797,-0.0005150488027024058,-0.001565744665715373,0.034539628243335674,0.07037037037037037,0.0339565241332259,0.010640390811905003,0.9296296296296297,A2C+PPO,0.0
a2c_ppo,4,1,1.0,-0.22871223771206994,-0.2596937425132776,0.035186883498813826,0.4032258064516129,0.532258064516129,0.46774193548387094,62.0,-0.23190343424379878,-0.2638398170769361,0.00414607456365855,-0.10000723424819734,-0.0035710498391458446,0.00029747163409768495,-0.14758902912151203,0.4032258064516129,-0.1596865082650802,0.023165464456432736,0.5967741935483871,A2C+PPO,0.0
a2c_ppo,4,2,1.0,0.13657270215291237,0.12795681350965468,0.016978504426146193,0.7725806451612903,0.5317204301075269,0.46827956989247305,62.0,0.12676239032670616,0.11927731573350828,0.008679497776146414,-0.013708649373857153,0.0022073727201741295,0.01316020191493813,0.1521911333566357,0.2274193548387097,0.14166546288351184,0.019506024417798515,0.7725806451612903,A2C+PPO,1.0
a2c_ppo,4,3,1.0,0.12380676249417569,0.11670736619722673,0.014115685386733029,0.3102150537634409,0.4935483870967742,0.5064516129032258,62.0,0.12681557894322382,0.11939382882648028,-0.0026864626292535457,0.03630475925055147,0.0019809924054919525,0.01097759987273341,0.08372329438170678,0.6897849462365592,0.08040260694667527,0.014114448948392155,0.3102150537634409,A2C+PPO,1.0
a2c_ppo,4,4,1.0,0.015828392403153133,0.015703814428065312,0.011051372764187939,0.6502645502645503,0.5259259259259259,0.47407407407407404,63.0,0.007425778692571468,0.007397971411023421,0.00830584301704189,-0.018252709705160585,0.00030945531670268923,0.018978458996179108,0.034539628243335674,0.6502645502645503,0.0339565241332259,0.010640390811905003,0.34973544973544973,A2C+PPO,0.0
a2c_ppo,5,1,1.0,-0.233406351309107,-0.26580065157472793,0.03534227970764084,0.3489247311827957,0.536021505376344,0.46397849462365587,62.0,-0.23497622386958625,-0.26785002783704914,0.0020493762623211642,-0.10611414330964772,-0.003663718875609993,0.003484010170752306,-0.14758902912151203,0.3489247311827957,-0.1596865082650802,0.023165464456432736,0.6510752688172042,A2C+PPO,0.0
a2c_ppo,5,2,1.0,0.15812082090486224,0.1466679186849482,0.017343982022109735,0.8279569892473119,0.5,0.5,62.0,0.14436791545981975,0.13472079427886838,0.011947124406079803,0.00500245580143634,0.0025161448045578094,-0.0001559606054685484,0.1521911333566357,0.17204301075268816,0.14166546288351184,0.019506024417798515,0.8279569892473119,A2C+PPO,1.0
