model,cumulative_return,annualized_return,sharpe,calmar,max_drawdown
arima,0.08915403179407289,0.08915403179407289,0.4384590343218028,0.31946103981743806,-0.2790763839153019
lstm,0.10837718751439773,0.10837718751439773,0.4871121416927579,0.37118140173083,-0.2919790350729634
xgboost,0.014321013113760772,0.014321013113760772,0.18537084266292575,0.05301243298346417,-0.2701444228795882
