model,segment,mae,rmse,directional_accuracy
arima,calibration,0.017334098957365186,0.025736693434621226,0.5225250278086764
arima,trade,0.01858578111733214,0.02768348614438991,0.5119113830181683
lstm,calibration,0.01733655567309577,0.02571624506450887,0.5122358175750834
lstm,trade,0.018743707399813486,0.02795939761028203,0.4899778413404665
xgboost,calibration,0.01811401563968742,0.026572236552772546,0.503337041156841
xgboost,trade,0.019133141594999188,0.028372657450573057,0.4957933859491145
