pair,classifier_group,selected_global_tau,ensemble_cumulative_return_mean,ensemble_sharpe_mean,ensemble_sharpe_sd,ensemble_calmar_mean,ensemble_max_drawdown_mean,stronger_model,stronger_sharpe,simple_average_sharpe,delta_sharpe_vs_average,delta_sharpe_mean,delta_sharpe_sd,delta_sharpe_ci_low,delta_sharpe_ci_high,win_rate_vs_stronger
arima_lstm,1,0.22,0.14578462539439935,0.6180511467007236,0.009930078685874507,0.5491296616002702,-0.26551551117923,lstm,0.4871121416927579,0.5140774678812258,0.10397367881949782,0.13093900500796568,0.009930078685874507,0.12723105268816934,0.13464695732776202,1.0
arima_lstm,2,0.38,0.15554544640574455,0.6429774062765926,1.1292025708167404e-16,0.5551115521330395,-0.28020574568851025,lstm,0.4871121416927579,0.5140774678812258,0.12889993839536684,0.15586526458383457,2.823006427041851e-17,0.15586526458383457,0.15586526458383457,1.0
arima_lstm,3,0.3,0.11659614099503672,0.518044152073491,0.037463408859825284,0.4095376633461952,-0.2864113861829394,lstm,0.4871121416927579,0.5140774678812258,0.003966684192265202,0.03093201038073301,0.03746340885982529,0.016942943608596477,0.04492107715286954,0.7333333333333333
arima_lstm,4,0.38,0.1558422368370564,0.6446141905034892,0.0020297158690834867,0.557698754717223,-0.27944046564625474,lstm,0.4871121416927579,0.5140774678812258,0.13053672262226346,0.15750204881073132,0.0020297158690834867,0.15674414044934024,0.1582599571721224,1.0
arima_lstm,5,0.38,0.15499622033020416,0.6419535098032012,0.0033593357444654786,0.5539310221827312,-0.27981612383364796,lstm,0.4871121416927579,0.5140774678812258,0.12787604192197544,0.15484136811044324,0.003359335744465478,0.153586971528029,0.1560957646928575,1.0
arima_xgboost,1,0.48,0.0657062730664826,0.3726352324031801,0.011375410883194837,0.24865689488935772,-0.26429845742600133,arima,0.4384590343218028,0.4032114531044971,-0.030576220701316992,-0.06582380191862264,0.011375410883194837,-0.07007145015055247,-0.06157615368669281,0.0
arima_xgboost,2,0.48,0.06969714340240049,0.38645037198212984,1.1292025708167404e-16,0.2712490867712539,-0.25694885919072813,arima,0.4384590343218028,0.4032114531044971,-0.01676108112236724,-0.05200866233967307,2.1172548202813882e-17,-0.05200866233967307,-0.05200866233967307,0.0
arima_xgboost,3,0.3,0.0799332213849888,0.4253075616601594,0.04010511350550613,0.3269272798190992,-0.24608450199363407,arima,0.4384590343218028,0.4032114531044971,0.022096108555662297,-0.01315147266164343,0.04010511350550612,-0.028126968159979567,0.001824022836692708,0.5
arima_xgboost,4,0.48,0.06318828000658754,0.3635305095111756,0.011107392418616713,0.2422324056851153,-0.26103852026101276,arima,0.4384590343218028,0.4032114531044971,-0.03968094359332147,-0.07492852481062715,0.011107392418616715,-0.07907609330311902,-0.07078095631813527,0.0
arima_xgboost,5,0.48,0.06702357420689034,0.3772182479371623,0.014325025309711987,0.2619396212345348,-0.2561596117659139,arima,0.4384590343218028,0.4032114531044971,-0.025993205167334776,-0.06124078638464048,0.014325025309711987,-0.06658983874450203,-0.05589173402477892,0.0
xgboost_lstm,1,0.27,0.10849309860395323,0.5213017418078898,0.02588253658754681,0.429222658215458,-0.2528694536637597,lstm,0.4871121416927579,0.41254708783266303,0.10875465397522677,0.03418960011513188,0.02588253658754681,0.02452490211847585,0.043854298111787905,0.8666666666666667
xgboost_lstm,2,0.24,0.10180654504423149,0.4981047119716745,1.1292025708167404e-16,0.3980020644322628,-0.2557940124995464,lstm,0.4871121416927579,0.41254708783266303,0.08555762413901147,0.010992570278916702,0.0,0.010992570278916702,0.010992570278916702,1.0
xgboost_lstm,3,0.2,0.08348859069136486,0.43136515797042413,0.03462665507256752,0.318402554732641,-0.26310127063585736,lstm,0.4871121416927579,0.41254708783266303,0.0188180701377611,-0.055746983722333686,0.03462665507256753,-0.06867678922183638,-0.04281717822283098,0.03333333333333333
xgboost_lstm,4,0.24,0.09951871218276895,0.49007735868859637,0.004584933279064006,0.38964605195594804,-0.2554156333993512,lstm,0.4871121416927579,0.41254708783266303,0.07753027085593334,0.0029652169958384283,0.0045849332790640065,0.0012531747728094906,0.0046772592188673665,0.5666666666666667
xgboost_lstm,5,0.24,0.1040567278840845,0.5078167580110516,0.0207255310090875,0.4085891016692464,-0.25492869869394136,lstm,0.4871121416927579,0.41254708783266303,0.09526967017838861,0.02070461631829377,0.0207255310090875,0.0129655758519302,0.028443656784657337,0.9
