repeat,window,pair,classifier_group,classifier_seed,calibration_source,calibration_start,calibration_end,trade_start,trade_end
27,1,a2c_ppo,1,870343237,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
27,1,a2c_ppo,2,968210227,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
27,1,a2c_ppo,3,1411072229,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
27,1,a2c_ppo,4,558433457,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
27,1,a2c_ppo,5,938700701,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
27,1,a2c_sac,1,24838454,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
27,1,a2c_sac,2,923219369,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
27,1,a2c_sac,3,1000961275,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
27,1,a2c_sac,4,472812025,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
27,1,a2c_sac,5,168643366,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
27,1,ppo_sac,1,134277170,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
27,1,ppo_sac,2,1368887093,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
27,1,ppo_sac,3,256601506,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
27,1,ppo_sac,4,1560795837,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
27,1,ppo_sac,5,815634665,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
27,2,a2c_ppo,1,354319239,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
27,2,a2c_ppo,2,1322562020,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
27,2,a2c_ppo,3,1786226452,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
27,2,a2c_ppo,4,1249360311,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
27,2,a2c_ppo,5,2055811593,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
27,2,a2c_sac,1,1959121311,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
27,2,a2c_sac,2,457710158,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
27,2,a2c_sac,3,1344928002,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
27,2,a2c_sac,4,1997874835,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
27,2,a2c_sac,5,1273935550,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
27,2,ppo_sac,1,186827060,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
27,2,ppo_sac,2,661915292,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
27,2,ppo_sac,3,1082188180,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
27,2,ppo_sac,4,1784271702,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
27,2,ppo_sac,5,1407593881,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
27,3,a2c_ppo,1,56526353,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
27,3,a2c_ppo,2,1743730767,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
27,3,a2c_ppo,3,1120743549,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
27,3,a2c_ppo,4,169210189,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
27,3,a2c_ppo,5,279083545,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
27,3,a2c_sac,1,1157272067,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
27,3,a2c_sac,2,737313072,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
27,3,a2c_sac,3,1421509105,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
27,3,a2c_sac,4,1188517708,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
27,3,a2c_sac,5,2066897774,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
27,3,ppo_sac,1,1375660671,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
27,3,ppo_sac,2,1937112105,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
27,3,ppo_sac,3,417068271,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
27,3,ppo_sac,4,156762396,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
27,3,ppo_sac,5,856481705,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
