model,model_tag,timesteps,is_best,best_step_so_far,validation_samples,cumulative_return,sharpe,calmar,max_drawdown,window,train_start,train_end,calibration_start,calibration_end,calibration_source,annualized_return
tqc,rolling_w3_100000_seed42,40000,False,20000,62,0.0062463120599995,0.2459579108983182,0.1319297927482618,-0.1942872164204742,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade,0.0256322721959898
tqc,rolling_w3_100000_seed42,60000,False,20000,62,0.0062463120599995,0.2459579108983182,0.1319297927482618,-0.1942872164204742,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade,0.0256322721959898
tqc,rolling_w3_100000_seed42,80000,False,20000,62,0.0062463120599995,0.2459579108983182,0.1319297927482618,-0.1942872164204742,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade,0.0256322721959898
tqc,rolling_w3_100000_seed42,100000,False,20000,62,0.0062463120599995,0.2459579108983182,0.1319297927482618,-0.1942872164204742,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade,0.0256322721959898
ppo,rolling_w4_100000_seed42,20000,True,20000,62,0.1156546114000005,2.5501190165256125,0.0395903610353823,-0.0462346417506829,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade,
ppo,rolling_w4_100000_seed42,40000,True,40000,62,0.0356613355399997,3.524194906674696,0.0439376465722741,-0.0129399622888461,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade,
ppo,rolling_w4_100000_seed42,60000,False,40000,62,0.0277655918600003,3.46632454470372,0.0378617624899778,-0.0117231505105821,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade,
ppo,rolling_w4_100000_seed42,80000,False,40000,62,0.0635663941400004,3.002291362502621,0.047024651762724,-0.0214455017053029,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade,
ppo,rolling_w4_100000_seed42,100000,False,40000,62,0.0821088009799997,2.7170192430443314,0.043697580439622,-0.0297956900045239,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade,
tqc,rolling_w4_100000_seed42,20000,True,20000,62,0.3501780170000004,2.969647904710962,14.56756316600458,-0.163943539589178,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade,2.388257868623724
tqc,rolling_w4_100000_seed42,40000,False,20000,62,0.3501780170000004,2.969647904710962,14.56756316600458,-0.163943539589178,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade,2.388257868623724
tqc,rolling_w4_100000_seed42,60000,False,20000,62,0.3501780170000004,2.969647904710962,14.56756316600458,-0.163943539589178,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade,2.388257868623724
tqc,rolling_w4_100000_seed42,80000,False,20000,62,0.3501780170000004,2.969647904710962,14.56756316600458,-0.163943539589178,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade,2.388257868623724
tqc,rolling_w4_100000_seed42,100000,False,20000,62,0.3501780170000004,2.969647904710962,14.56756316600458,-0.163943539589178,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade,2.388257868623724
