pair,classifier_group,selected_global_tau,tau_count,tau_beating_stronger,tau_beating_simple_average,tau_beating_stronger_min,tau_beating_stronger_max,tau_within_0.01_sharpe_of_best
ppo_tqc,1,0.46,89,3,45,0.45,0.47,1
ppo_tqc,2,0.46,89,8,48,0.42,0.49,1
ppo_tqc,3,0.01,89,0,0,,,38
ppo_tqc,4,0.46,89,3,48,0.45,0.47,1
ppo_tqc,5,0.46,89,5,48,0.44,0.48,1
