window,pair,segment,samples,mean_holding_l1,mean_dispersion,identical_holding_rate
1,ppo_tqc,calibration,62,18144.0,0.5759999999999992,0.0
1,ppo_tqc,trade,62,17620.290322580644,0.5757193387158777,0.0
2,ppo_tqc,calibration,62,11952.40322580645,0.5565364396654711,0.0
2,ppo_tqc,trade,62,37408.87096774193,0.46485099643407424,0.0
3,ppo_tqc,calibration,62,8939.0,0.49017533818938525,0.0
3,ppo_tqc,trade,62,52185.67741935484,0.4137776586490337,0.0
4,ppo_tqc,calibration,62,17652.387096774193,0.561609677419354,0.0
4,ppo_tqc,trade,16,55184.6875,0.39509665849919723,0.0
