repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown
0,a2c_ppo,1,0.01,9,0.03841316096406211,0.03841316096406211,0.2832209654602701,0.12169975967946056,-0.315638757752988
0,a2c_ppo,1,0.02,9,0.03841316096406211,0.03841316096406211,0.2832209654602701,0.12169975967946056,-0.315638757752988
0,a2c_ppo,1,0.03,9,0.03841316096406211,0.03841316096406211,0.2832209654602701,0.12169975967946056,-0.315638757752988
0,a2c_ppo,1,0.04,9,0.03841316096406211,0.03841316096406211,0.2832209654602701,0.12169975967946056,-0.315638757752988
0,a2c_ppo,1,0.05,9,0.03841316096406211,0.03841316096406211,0.2832209654602701,0.12169975967946056,-0.315638757752988
0,a2c_ppo,1,0.06,9,0.03841316096406211,0.03841316096406211,0.2832209654602701,0.12169975967946056,-0.315638757752988
0,a2c_ppo,1,0.07,9,0.03841316096406211,0.03841316096406211,0.2832209654602701,0.12169975967946056,-0.315638757752988
0,a2c_ppo,1,0.08,9,0.03841316096406211,0.03841316096406211,0.2832209654602701,0.12169975967946056,-0.315638757752988
0,a2c_ppo,1,0.09,9,0.03841316096406211,0.03841316096406211,0.2832209654602701,0.12169975967946056,-0.315638757752988
0,a2c_ppo,1,0.1,1,0.03584942410988301,0.03584942410988301,0.2762866694994896,0.1135773830979844,-0.315638757752988
0,a2c_ppo,1,0.11,1,0.027285239129417826,0.027285239129417826,0.25303596367831416,0.08644451436718256,-0.315638757752988
0,a2c_ppo,1,0.12,1,0.029089080490414032,0.029089080490414032,0.2579702058878199,0.09215940620694785,-0.315638757752988
0,a2c_ppo,1,0.13,1,0.006361320000137782,0.006361320000137782,0.1963024325162185,0.020153798745830866,-0.315638757752988
0,a2c_ppo,1,0.14,1,-0.005427794083896265,-0.005427794083896265,0.1636851394566309,-0.017196221790176786,-0.315638757752988
0,a2c_ppo,1,0.15,1,-0.000687743409766739,-0.000687743409766739,0.17650078881077907,-0.00217889404540412,-0.315638757752988
0,a2c_ppo,1,0.16,1,0.0036384180196040727,0.0036384180196040727,0.18852058851635636,0.011527158595812936,-0.315638757752988
0,a2c_ppo,1,0.17,1,0.010206080744308954,0.010206080744308954,0.20665104788529273,0.032334687973572654,-0.315638757752988
0,a2c_ppo,1,0.18,1,0.019238290953258907,0.019238290953258907,0.23114227623089514,0.06095034428032559,-0.315638757752988
0,a2c_ppo,1,0.19,1,0.031120775816418256,0.031120775816418256,0.2634125280673024,0.09859618013315302,-0.315638757752988
0,a2c_ppo,1,0.2,1,0.052490878754589465,0.052490878754589465,0.3208794201435715,0.1663004858093748,-0.315638757752988
0,a2c_ppo,1,0.21,1,0.02979735152597862,0.02979735152597862,0.2588731814856326,0.09440333543986819,-0.315638757752988
0,a2c_ppo,1,0.22,1,0.03818661274652513,0.03818661274652513,0.281673728152143,0.12098201443439065,-0.315638757752988
0,a2c_ppo,1,0.23,1,0.03830582987841069,0.03830582987841069,0.28187764815160377,0.12135971561638194,-0.315638757752988
0,a2c_ppo,1,0.24,1,0.0434633688525512,0.0434633688525512,0.29580101830683825,0.13770484008348263,-0.31562702390273156
0,a2c_ppo,1,0.25,1,0.042435515236611376,0.042435515236611376,0.2925800036760997,0.13453268063544507,-0.315429046951072
0,a2c_ppo,1,0.26,1,0.050269109150127944,0.050269109150127944,0.3142654544254742,0.15893996362767482,-0.31627734147395403
0,a2c_ppo,1,0.27,1,0.04942617113960712,0.04942617113960712,0.3119472473699553,0.15610041137149788,-0.3166306270774618
0,a2c_ppo,1,0.28,1,0.010106708136223386,0.010106708136223386,0.20059421487355597,0.032136439680120456,-0.31449370984538083
0,a2c_ppo,1,0.29,1,0.03311865851241724,0.03311865851241724,0.26494526809290203,0.11036153414480528,-0.30009240782175317
0,a2c_ppo,1,0.3,1,0.058217951808332336,0.058217951808332336,0.33591964745055497,0.20525857189316715,-0.2836322559948121
