repeat,window,pair,classifier_group,classifier_seed,calibration_source,calibration_start,calibration_end,trade_start,trade_end
14,1,a2c_ppo,1,2139211294,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
14,1,a2c_ppo,2,1288964834,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
14,1,a2c_ppo,3,1943743883,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
14,1,a2c_ppo,4,1970392005,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
14,1,a2c_ppo,5,1174197631,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
14,1,a2c_sac,1,811879714,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
14,1,a2c_sac,2,613910193,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
14,1,a2c_sac,3,552602961,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
14,1,a2c_sac,4,408361527,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
14,1,a2c_sac,5,1289603502,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
14,1,ppo_sac,1,964618683,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
14,1,ppo_sac,2,414471517,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
14,1,ppo_sac,3,1004283632,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
14,1,ppo_sac,4,111987062,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
14,1,ppo_sac,5,1732250659,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
14,2,a2c_ppo,1,365235552,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
14,2,a2c_ppo,2,2037601927,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
14,2,a2c_ppo,3,125254950,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
14,2,a2c_ppo,4,1912744272,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
14,2,a2c_ppo,5,1829569160,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
14,2,a2c_sac,1,1958491839,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
14,2,a2c_sac,2,893435029,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
14,2,a2c_sac,3,199934003,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
14,2,a2c_sac,4,1864873144,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
14,2,a2c_sac,5,448302353,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
14,2,ppo_sac,1,932401364,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
14,2,ppo_sac,2,371450795,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
14,2,ppo_sac,3,350113706,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
14,2,ppo_sac,4,175401195,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
14,2,ppo_sac,5,449436873,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
14,3,a2c_ppo,1,1069979996,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
14,3,a2c_ppo,2,876927746,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
14,3,a2c_ppo,3,369570825,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
14,3,a2c_ppo,4,1978543191,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
14,3,a2c_ppo,5,1902198081,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
14,3,a2c_sac,1,1562909790,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
14,3,a2c_sac,2,19746366,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
14,3,a2c_sac,3,1149373520,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
14,3,a2c_sac,4,1656592044,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
14,3,a2c_sac,5,641211537,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
14,3,ppo_sac,1,2086735489,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
14,3,ppo_sac,2,2101619538,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
14,3,ppo_sac,3,188551763,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
14,3,ppo_sac,4,323359307,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
14,3,ppo_sac,5,351383844,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
14,4,a2c_ppo,1,2136736031,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
14,4,a2c_ppo,2,1834135681,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
14,4,a2c_ppo,3,340059186,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
14,4,a2c_ppo,4,1871954169,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
14,4,a2c_ppo,5,2125906116,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
14,4,a2c_sac,1,309784,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
14,4,a2c_sac,2,978863268,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
14,4,a2c_sac,3,1106191783,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
14,4,a2c_sac,4,1248693835,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
14,4,a2c_sac,5,730891465,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
14,4,ppo_sac,1,594938558,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
14,4,ppo_sac,2,1124330791,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
