pair,tau,classifier_groups,sharpe_across_groups_mean,sharpe_across_groups_min,sharpe_across_groups_max,min_delta_vs_stronger,min_delta_vs_simple_average,groups_beating_stronger,groups_beating_simple_average
ppo_tqc,0.01,5,0.7130354758904544,0.5526580104972981,1.031068379739022,-0.03506204894115694,-0.032161248006191356,3,3
ppo_tqc,0.02,5,0.7130354758904544,0.5526580104972981,1.031068379739022,-0.03506204894115694,-0.032161248006191356,3,3
ppo_tqc,0.03,5,0.7130354758904544,0.5526580104972981,1.031068379739022,-0.03506204894115694,-0.032161248006191356,3,3
ppo_tqc,0.04,5,0.7130354758904544,0.5526580104972981,1.031068379739022,-0.03506204894115694,-0.032161248006191356,3,3
ppo_tqc,0.05,5,0.7130354758904544,0.5526580104972981,1.031068379739022,-0.03506204894115694,-0.032161248006191356,3,3
ppo_tqc,0.06,5,0.7130354758904544,0.5526580104972981,1.031068379739022,-0.03506204894115694,-0.032161248006191356,3,3
ppo_tqc,0.07,5,0.7130354758904544,0.5526580104972981,1.031068379739022,-0.03506204894115694,-0.032161248006191356,3,3
ppo_tqc,0.08,5,0.7130354758904544,0.5526580104972981,1.031068379739022,-0.03506204894115694,-0.032161248006191356,3,3
ppo_tqc,0.09,5,0.7130354758904544,0.5526580104972981,1.031068379739022,-0.03506204894115694,-0.032161248006191356,3,3
ppo_tqc,0.1,5,0.7130354758904544,0.5526580104972981,1.031068379739022,-0.03506204894115694,-0.032161248006191356,3,3
ppo_tqc,0.11,5,0.7130354758904544,0.5526580104972981,1.031068379739022,-0.03506204894115694,-0.032161248006191356,3,3
ppo_tqc,0.12,5,0.7130354758904544,0.5526580104972981,1.031068379739022,-0.03506204894115694,-0.032161248006191356,3,3
ppo_tqc,0.13,5,0.7130354758904544,0.5526580104972981,1.031068379739022,-0.03506204894115694,-0.032161248006191356,3,3
ppo_tqc,0.14,5,0.7130354758904544,0.5526580104972981,1.031068379739022,-0.03506204894115694,-0.032161248006191356,3,3
ppo_tqc,0.15,5,0.7130354758904544,0.5526580104972981,1.031068379739022,-0.03506204894115694,-0.032161248006191356,3,3
ppo_tqc,0.16,5,0.7096822636379453,0.5481150535843037,1.0272615976942179,-0.03960500585415139,-0.0367042049191858,3,3
ppo_tqc,0.17,5,0.47590613307059043,0.25978550575394604,0.7958667616445414,-0.327934553684509,-0.32503375274954344,2,2
ppo_tqc,0.18,5,0.4101929406929214,0.1794294047572484,0.7891335665850575,-0.4082906546812067,-0.4053898537462411,2,2
ppo_tqc,0.19,5,0.4220038290904068,0.15558984404869125,0.782398280038167,-0.4321302153897638,-0.42922941445479823,2,2
ppo_tqc,0.2,5,0.5040971160885624,0.18816355944342023,0.7898846009362509,-0.39955649999503484,-0.39665569906006926,2,2
ppo_tqc,0.21,5,0.5122354923928438,0.3024732543648254,0.7131052546773108,-0.28524680507362965,-0.28234600413866406,2,2
ppo_tqc,0.22,5,0.5197176064292452,0.4175380351251775,0.6706270648722478,-0.17018202431327756,-0.16728122337831197,1,1
ppo_tqc,0.23,5,0.5516427968262444,0.39680275017857103,0.6236942489947891,-0.19091730925988404,-0.18801650832491845,2,2
ppo_tqc,0.24,5,0.3683210170259776,-0.20719288839309222,0.6898191737618161,-0.7949129478315473,-0.7920121468965817,1,1
ppo_tqc,0.25,5,0.3736253687037185,-0.20207009231037945,0.7151039125131451,-0.7897901517488345,-0.7868893508138689,1,1
ppo_tqc,0.26,5,0.3862376816145917,-0.1868837010731121,0.7335644402247418,-0.7746037605115672,-0.7717029595766016,1,1
ppo_tqc,0.27,5,0.3838720632114021,-0.19056571658628235,0.7347092005830281,-0.7782857760247375,-0.7753849750897719,1,1
ppo_tqc,0.28,5,0.380690277129412,-0.20106866216496397,0.7260368861980485,-0.7887887216034191,-0.7858879206684535,1,1
ppo_tqc,0.29,5,0.33440837053317507,-0.2501078786086226,0.6739214379616246,-0.8378279380470777,-0.8349271371121121,1,1
ppo_tqc,0.3,5,0.27616549370049875,-0.3332984002791336,0.5955812455781232,-0.9210184597175887,-0.9181176587826231,1,1
ppo_tqc,0.31,5,0.4037059928485444,-0.1255842424066876,0.7303417683294298,-0.7133043018451427,-0.7104035009101771,1,1
ppo_tqc,0.32,5,0.4037059928485444,-0.1255842424066876,0.7303417683294298,-0.7133043018451427,-0.7104035009101771,1,1
ppo_tqc,0.33,5,0.4037059928485444,-0.1255842424066876,0.7303417683294298,-0.7133043018451427,-0.7104035009101771,1,1
ppo_tqc,0.34,5,0.4037059928485444,-0.1255842424066876,0.7303417683294298,-0.7133043018451427,-0.7104035009101771,1,1
ppo_tqc,0.35,5,0.4037059928485444,-0.1255842424066876,0.7303417683294298,-0.7133043018451427,-0.7104035009101771,1,1
ppo_tqc,0.36,5,0.4037059928485444,-0.1255842424066876,0.7303417683294298,-0.7133043018451427,-0.7104035009101771,1,1
