pair,classifier_group,selected_global_tau,tau_count,tau_beating_stronger,tau_beating_simple_average,tau_beating_stronger_min,tau_beating_stronger_max,tau_within_0.01_sharpe_of_best
ppo_tqc,1,0.26,89,64,66,0.26,0.89,64
ppo_tqc,2,0.27,89,0,63,,,64
ppo_tqc,3,0.17,89,0,0,,,3
ppo_tqc,4,0.27,89,64,67,0.26,0.89,64
ppo_tqc,5,0.26,89,64,65,0.26,0.89,64
