model,model_tag,timesteps,is_best,best_step_so_far,validation_samples,cumulative_return,sharpe,calmar,max_drawdown,window,train_start,train_end,calibration_start,calibration_end,calibration_source,annualized_return
tqc,rolling_w3_100000_seed42,20000,True,20000,62,0.1645234802900006,2.2143658814252163,5.701566216954032,-0.1503461184719549,3,2016-06-01,2020-01-23,2020-02-03,2020-04-30,previous_trade,0.8572083499298666
tqc,rolling_w3_100000_seed42,40000,False,20000,62,0.1615887576100001,2.2013908177452444,5.577398734262268,-0.1502955613604321,3,2016-06-01,2020-01-23,2020-02-03,2020-04-30,previous_trade,0.8382582736969111
tqc,rolling_w3_100000_seed42,60000,False,20000,62,0.1551243984499999,2.1369529364755517,5.226633102385369,-0.1524941745131827,3,2016-06-01,2020-01-23,2020-02-03,2020-04-30,previous_trade,0.797031100431532
tqc,rolling_w3_100000_seed42,80000,False,20000,62,0.1548182865299998,2.137980899740477,5.221280322005899,-0.152279945876354,3,2016-06-01,2020-01-23,2020-02-03,2020-04-30,previous_trade,0.7950962848403309
tqc,rolling_w3_100000_seed42,100000,False,20000,62,0.1610329281299998,2.202451620249496,5.49519866178412,-0.151893627665434,3,2016-06-01,2020-01-23,2020-02-03,2020-04-30,previous_trade,0.8346856594806285
ppo,rolling_w4_100000_seed42,20000,True,20000,62,0.2325154926499999,3.0046506184845088,0.0348135022595298,-0.1020570413111199,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade,
ppo,rolling_w4_100000_seed42,40000,True,40000,62,0.2583008090400003,3.31892522603371,0.0418857816424296,-0.0927411050773215,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade,
ppo,rolling_w4_100000_seed42,60000,False,40000,62,0.2718260995199999,3.2856326146653534,0.0403457240023988,-0.1011059580197648,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade,
ppo,rolling_w4_100000_seed42,80000,False,40000,62,0.2606467843799998,3.1981970551478844,0.0380068632635215,-0.1034660085003823,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade,
ppo,rolling_w4_100000_seed42,100000,True,100000,62,0.2868802528299998,3.4298056997347666,0.0438121478647427,-0.0974856270689817,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade,
tqc,rolling_w4_100000_seed42,20000,True,20000,62,0.2612659437799993,3.194833414704956,15.465509820094274,-0.101438637174622,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade,1.568800239361098
tqc,rolling_w4_100000_seed42,40000,True,40000,62,0.2636787631800001,3.253963805182454,15.756154899509974,-0.1008388480048482,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade,1.5888325090525308
tqc,rolling_w4_100000_seed42,60000,False,40000,62,0.2590128249100001,3.186961988122013,14.942381218319625,-0.1037451517870782,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade,1.5501996075549562
tqc,rolling_w4_100000_seed42,80000,False,40000,62,0.2602704904300006,3.1963978187388227,15.03384534372838,-0.1038037618696013,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade,1.5605697020447962
tqc,rolling_w4_100000_seed42,100000,True,100000,62,0.2837372677600003,3.610335442356946,19.0808933114858,-0.0922368617283178,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade,1.7599617180242997
